ID;aemet_equipo_loc;aemet_lej;aemet_fecha;aemet_lugar;aemet_provincia;aemet_aemet_tmax;aemet_tmin;aemet_sol;aemet_presMax;aemet_presMin;aemet_prec;aemet_racha;aemet_dir;aemet_velmedia;aemet_aemet_tmax_vis;aemet_tmin_vis;aemet_sol_vis;aemet_presMax_vis;aemet_presMin_vis;aemet_prec_vis;aemet_racha_vis;aemet_dir_vis;aemet_velmedia_vis;
g_1_v3c044S4;Villarreal;0;2017-11-05;CASTELLÓN - ALMASSORA;CASTELLON;23.6;13.1;10.0;1015.8;1007.6;0.0;11.7;01;1.7;22.9;15.0;NaN;1015.5;1012.9;0.0;8.1;30;2.5;
g_1_Igd43OsB;Celta de Vigo;0;2017-11-05;VIGO AEROPUERTO;PONTEVEDRA;14.9;7.5;NaN;999.3;993.5;0.0;9.7;36;2.5;14.5;10.1;0.7;1022.7;1014.3;24.7;14.4;35;2.2;
g_1_lE4m76rn;Levante;0;2017-11-05;VALENCIA AEROPUERTO;VALENCIA;22.9;10.9;10.0;1014.6;1006.3;0.0;14.4;34;5.3;19.5;6.2;6.2;1001.5;993.6;0.0;9.2;02;1.9;
g_1_OWIVJqSi;Girona;1;2017-11-17;GIRONA AEROPUERTO;GIRONA;21.1;-0.2;8.9;1004.8;1001.6;0.0;5.0;99;0.6;13.5;8.0;6.7;993.3;991.9;0.0;5.0;01;1.9;
g_1_WdMwINd4;Atletico de Madrid;0;2017-11-18;MADRID, RETIRO;MADRID;17.5;7.2;NaN;943.4;941.8;0.0;5.8;09;0.8;17.5;7.2;NaN;943.4;941.8;0.0;5.8;09;0.8;
g_1_0xAjFLtN;Sevilla;0;2017-11-18;SEVILLA AEROPUERTO;SEVILLA;23.4;5.4;9.7;1016.5;1013.7;0.0;5.8;06;1.1;18.9;6.1;NaN;990.9;989.0;0.0;6.7;99;2.2;
g_1_vT8fEudT;Leganes;1;2017-11-18;MADRID, RETIRO;MADRID;17.5;7.2;NaN;943.4;941.8;0.0;5.8;09;0.8;20.2;7.5;6.3;1020.7;1018.3;0.0;11.4;01;2.5;
g_1_8Ozqdtzo;Getafe;1;2017-11-18;MADRID, RETIRO;MADRID;17.5;7.2;NaN;943.4;941.8;0.0;5.8;09;0.8;13.6;0.0;3.2;965.0;963.1;0.0;8.3;02;1.4;
g_1_hCAnG1RG;Athletic Club;1;2017-11-19;BILBAO AEROPUERTO;BIZKAIA;16.5;3.9;7.0;1022.2;1019.8;NA;6.1;09;0.8;19.8;8.6;9.3;1017.9;1015.0;0.0;6.1;29;1.9;
g_1_IgIZI3sb;Las Palmas;0;2017-11-19;GRAN CANARIA AEROPUERTO;LAS PALMAS;22.8;18.6;8.9;1012.0;1009.8;0.0;9.7;02;4.4;19.6;4.7;9.1;1015.9;1012.3;0.0;6.7;03;1.7;
g_1_6FlH0MRT;Espanyol;0;2017-11-19;BARCELONA AEROPUERTO;BARCELONA;18.3;7.2;7.1;1022.4;1019.6;0.0;9.7;35;3.6;19.6;4.7;9.1;1015.9;1012.3;0.0;6.7;03;1.7;
g_1_ELBrHsCA;Malaga;0;2017-11-19;MÁLAGA, CENTRO METEOROLÓGICO;MALAGA;20.5;9.7;NaN;1017.9;1015.1;0.0;5.6;99;1.4;18.5;9.1;9.0;1015.1;1012.8;0.0;6.1;16;1.9;
g_1_ptKRKPCo;Eibar;1;2017-11-20;BILBAO AEROPUERTO;BIZKAIA;21.1;2.8;7.8;1021.0;1016.0;0.0;6.7;07;1.1;24.2;7.2;9.7;1019.5;1016.7;0.0;8.3;08;2.5;
g_1_M5wYRbQS;Celta de Vigo;0;2017-11-24;VIGO AEROPUERTO;PONTEVEDRA;14.1;11.0;NaN;988.6;983.5;22.6;9.2;99;1.1;16.1;10.0;NaN;944.0;942.0;0.0;6.4;24;0.8;
g_1_8rXHVtR3;Levante;0;2017-11-25;VALENCIA AEROPUERTO;VALENCIA;21.5;9.1;0.0;1015.7;1009.4;0.0;9.7;99;5.0;16.5;7.8;NaN;947.8;941.8;0.0;9.4;04;1.7;
g_1_CGw9X2di;Real Betis;0;2017-11-25;SEVILLA AEROPUERTO;SEVILLA;20.7;6.5;2.9;1019.6;1016.1;0.0;4.7;99;0.8;16.6;8.2;0.4;1006.7;997.6;0.1;9.2;14;2.2;
g_1_nZVLU0tA;Real Madrid;0;2017-11-25;MADRID, RETIRO;MADRID;16.5;7.8;NaN;947.8;941.8;0.0;9.4;04;1.7;23.1;9.2;NaN;1016.7;1013.7;0.0;4.7;30;1.9;
g_1_bDkR8JJj;Alaves;0;2017-11-25;VITORIA GASTEIZ AEROPUERTO;ARABA/ALAVA;11.1;2.8;0.5;969.3;957.1;0.5;11.7;02;3.6;13.3;6.3;0.1;1026.4;1013.5;8.2;9.2;99;1.9;
g_1_OEPaNIYq;Valencia;0;2017-11-26;VALENCIA AEROPUERTO;VALENCIA;17.1;5.8;7.5;1023.0;1015.7;0.0;9.7;99;2.8;15.8;7.1;3.9;1029.4;1022.1;0.0;11.7;99;3.1;
g_1_vslTSvBM;Villarreal;0;2017-11-26;CASTELLÓN - ALMASSORA;CASTELLON;17.4;8.0;9.1;1025.2;1018.3;0.0;7.2;28;2.2;22.1;12.0;7.8;1023.1;1019.1;0.0;9.7;99;2.5;
g_1_j7xDWMBc;Real Sociedad;0;2017-11-26;DONOSTIA/SAN SEBASTIÁN, IGUELDO;GIPUZKOA;10.0;6.2;2.5;1001.1;998.0;2.4;13.3;36;2.2;27.2;20.0;8.3;1015.0;1011.2;0.1;11.4;99;4.7;
g_1_tdVPTKeG;Deportivo de La Coruna;0;2017-11-26;A CORUÑA;A CORUÑA;14.5;6.1;8.8;1024.6;1021.8;0.0;8.9;06;2.5;12.5;5.3;2.8;1029.5;1026.1;1.8;4.2;99;0.6;
g_1_pAoN9a4p;Espanyol;0;2017-11-27;BARCELONA AEROPUERTO;BARCELONA;14.5;4.9;5.9;1030.2;1022.4;0.0;8.9;99;4.2;9.9;1.4;NaN;950.8;945.4;0.0;4.2;03;0.3;
g_1_K092svQF;Malaga;0;2017-12-01;MÁLAGA, CENTRO METEOROLÓGICO;MALAGA;16.1;6.2;NaN;1017.3;1012.3;0.0;10.0;32;2.5;15.2;0.9;6.5;1012.0;1003.9;0.0;19.7;99;6.7;
g_1_0CQatbuM;Athletic Club;1;2017-12-02;BILBAO AEROPUERTO;BIZKAIA;9.4;2.8;1.3;1025.4;1019.2;6.0;15.3;02;1.4;6.5;-0.5;NaN;945.8;944.2;0.0;11.4;02;1.1;
g_1_v3P3uIfS;Sevilla;0;2017-12-02;SEVILLA AEROPUERTO;SEVILLA;13.8;3.4;9.6;1022.9;1019.6;0.0;8.9;04;3.3;11.8;6.0;5.7;1023.4;1021.3;0.2;8.3;03;2.5;
g_1_tAAbrKA9;Atletico de Madrid;0;2017-12-02;MADRID, RETIRO;MADRID;6.5;-0.5;NaN;945.8;944.2;0.0;11.4;02;1.1;3.4;0.3;0.2;997.8;991.2;9.2;6.7;10;3.6;
g_1_AoGZZeIk;Barcelona;0;2017-12-02;BARCELONA AEROPUERTO;BARCELONA;11.6;1.9;3.9;1018.0;1010.3;0.0;12.5;99;5.3;11.6;0.9;NaN;998.9;996.3;0.0;11.4;05;1.9;
g_1_nmBfq0e3;Las Palmas;0;2017-12-03;GRAN CANARIA AEROPUERTO;LAS PALMAS;20.9;18.2;0.9;1016.9;1014.1;0.0;10.3;02;5.0;13.3;2.4;9.5;1027.4;1021.9;0.0;11.4;99;4.2;
g_1_WvT7Ld3d;Eibar;1;2017-12-03;BILBAO AEROPUERTO;BIZKAIA;6.6;0.7;0.0;1029.2;1025.4;3.5;5.0;10;1.9;13.5;3.2;6.4;1029.1;1017.6;0.0;11.4;35;5.6;
g_1_hlU3Mxlj;Getafe;1;2017-12-03;MADRID, RETIRO;MADRID;8.5;0.0;NaN;952.4;945.8;0.0;7.5;02;0.6;15.6;-0.7;9.1;1023.0;1013.8;0.0;10.3;32;3.3;
g_1_drCVzx3q;Leganes;1;2017-12-03;MADRID, RETIRO;MADRID;8.5;0.0;NaN;952.4;945.8;0.0;7.5;02;0.6;15.0;5.1;8.9;1025.0;1015.3;0.0;8.3;28;3.3;
g_1_Yq7jpttc;Girona;1;2017-12-04;GIRONA AEROPUERTO;GIRONA;14.5;-5.2;8.6;1019.0;1013.0;0.0;5.0;35;0.6;5.5;-0.1;0.0;976.6;972.0;0.2;5.0;99;0.8;
g_1_KGcQdJP2;Alaves;0;2017-12-08;VITORIA GASTEIZ AEROPUERTO;ARABA/ALAVA;9.1;2.1;0.0;967.6;965.4;1.8;8.3;36;1.7;20.8;15.3;9.6;1023.6;1020.6;0.0;8.9;99;3.1;
g_1_KK5JZnO6;Valencia;0;2017-12-09;VALENCIA AEROPUERTO;VALENCIA;15.5;6.3;1.7;1016.6;1012.6;0.0;7.2;24;2.8;13.8;10.9;NaN;997.4;991.2;4.4;12.5;26;3.6;
g_1_OhCAy9gf;Deportivo de La Coruna;0;2017-12-09;A CORUÑA;A CORUÑA;15.7;10.6;0.0;1020.9;1009.9;6.6;15.3;24;5.0;13.2;4.7;NaN;947.2;944.5;0.0;6.4;26;0.3;
g_1_p2D6xkvl;Real Madrid;0;2017-12-09;MADRID, RETIRO;MADRID;13.2;4.7;NaN;947.2;944.5;0.0;6.4;26;0.3;17.1;6.7;0.6;1024.9;1021.9;0.0;5.0;99;1.4;
g_1_hA5vZFXe;Getafe;1;2017-12-09;MADRID, RETIRO;MADRID;13.2;4.7;NaN;947.2;944.5;0.0;6.4;26;0.3;14.1;7.1;0.1;1023.9;1010.1;7.3;12.5;21;1.4;
g_1_tU6FzT80;Villarreal;0;2017-12-10;CASTELLÓN - ALMASSORA;CASTELLON;20.0;8.3;1.6;1014.1;992.6;0.0;12.8;21;3.3;18.2;8.4;0.3;1018.4;995.1;0.7;12.5;99;5.3;
g_1_juE2wVOs;Levante;0;2017-12-10;VALENCIA AEROPUERTO;VALENCIA;18.5;7.4;1.8;1012.6;992.5;0.0;17.5;26;5.8;19.8;10.7;0.0;1010.2;975.8;31.2;24.2;23;5.6;
g_1_b7dUewu9;Real Betis;0;2017-12-10;SEVILLA AEROPUERTO;SEVILLA;18.5;7.3;4.0;1023.3;1003.7;22.8;14.4;99;4.2;11.5;8.7;NaN;945.6;919.6;11.9;14.4;23;4.2;
g_1_tWoZfcfF;Real Sociedad;0;2017-12-10;DONOSTIA/SAN SEBASTIÁN, IGUELDO;GIPUZKOA;18.2;10.0;0.0;984.2;952.6;33.9;28.9;28;6.7;20.6;15.0;NaN;1020.5;1004.5;0.5;10.3;32;2.5;
g_1_W04rYZn2;Espanyol;0;2017-12-11;BARCELONA AEROPUERTO;BARCELONA;17.0;8.0;0.0;1003.7;988.5;1.1;18.9;25;6.4;15.2;2.8;0.8;987.9;972.2;0.2;18.6;21;4.2;
g_1_nkxlkSNg;Sevilla;0;2017-12-15;SEVILLA AEROPUERTO;SEVILLA;19.3;10.7;3.0;1016.9;1009.9;0.2;10.8;26;5.0;18.0;5.3;4.3;1006.0;1000.8;0.1;14.4;26;5.6;
g_1_8tnEeUpQ;Atletico de Madrid;0;2017-12-16;MADRID, RETIRO;MADRID;9.7;2.0;NaN;948.3;938.2;0.0;10.3;04;2.2;6.2;1.6;1.4;968.7;956.4;9.4;10.3;32;1.4;
g_1_Es5NY6wD;Eibar;1;2017-12-16;BILBAO AEROPUERTO;BIZKAIA;10.1;4.4;0.5;1026.1;1012.4;9.2;11.4;99;2.8;16.1;1.6;8.8;1017.1;1005.7;0.0;12.8;33;4.2;
g_1_4Qnqj88m;Athletic Club;1;2017-12-16;BILBAO AEROPUERTO;BIZKAIA;10.1;4.4;0.5;1026.1;1012.4;9.2;11.4;99;2.8;9.5;5.4;1.2;997.5;984.6;14.2;19.2;36;4.4;
g_1_fFudm6h6;Barcelona;0;2017-12-17;BARCELONA AEROPUERTO;BARCELONA;15.3;4.1;6.1;1029.2;1022.5;0.0;8.9;01;3.6;12.7;4.9;7.6;1027.8;1024.2;0.0;4.7;15;1.1;
g_1_UkmAdAVJ;Las Palmas;0;2017-12-17;GRAN CANARIA AEROPUERTO;LAS PALMAS;19.8;16.7;1.5;1018.9;1016.1;0.1;16.1;02;7.8;15.3;4.1;6.1;1029.2;1022.5;0.0;8.9;01;3.6;
g_1_Y5v0nQ7C;Celta de Vigo;0;2017-12-17;VIGO AEROPUERTO;PONTEVEDRA;11.6;1.0;7.8;1004.2;999.7;0.0;7.8;99;0.8;14.1;4.7;8.7;1025.7;1019.2;0.0;7.5;36;1.7;
g_1_Sp9RXQhJ;Girona;1;2017-12-17;GIRONA AEROPUERTO;GIRONA;12.9;-4.6;8.2;1013.6;1006.6;0.0;6.7;26;1.1;9.7;1.5;NaN;954.0;948.3;0.0;8.3;04;1.7;
g_1_QZmuilgs;Malaga;0;2017-12-18;MÁLAGA, CENTRO METEOROLÓGICO;MALAGA;17.5;5.5;NaN;1027.1;1020.4;0.0;7.5;28;1.4;15.2;4.2;9.1;1028.6;1024.6;0.0;10.3;06;3.9;
g_1_8I5V157a;Levante;0;2017-12-19;VALENCIA AEROPUERTO;VALENCIA;14.2;7.3;4.1;1025.8;1015.0;NA;12.5;99;2.2;11.6;4.3;NaN;953.0;946.7;0.0;8.6;02;0.8;
g_1_vq1R2ohg;Real Sociedad;0;2017-12-20;DONOSTIA/SAN SEBASTIÁN, IGUELDO;GIPUZKOA;7.6;4.0;2.2;1007.3;1004.2;0.0;4.2;07;1.9;17.4;4.1;9.3;1030.5;1027.2;0.0;5.0;99;1.1;
g_1_UXX8p4xP;Getafe;1;2017-12-20;MADRID, RETIRO;MADRID;11.7;1.8;NaN;954.2;951.6;0.0;5.8;36;1.1;21.4;16.2;8.2;1021.9;1018.0;0.0;11.7;03;5.8;
g_1_ITCI47Nt;Alaves;0;2017-12-21;VITORIA GASTEIZ AEROPUERTO;ARABA/ALAVA;12.5;0.5;7.7;979.5;976.4;0.0;7.8;99;2.8;18.5;5.9;NaN;1033.7;1026.4;0.0;5.0;15;2.2;
g_1_jsZ4opNI;Eibar;1;2017-12-21;BILBAO AEROPUERTO;BIZKAIA;14.5;4.6;7.6;1037.3;1034.5;0.0;4.7;99;0.8;15.0;2.1;8.1;1019.9;1016.8;0.0;5.8;99;0.8;
g_1_ryMj9mFP;Espanyol;0;2017-12-22;BARCELONA AEROPUERTO;BARCELONA;16.1;7.2;4.2;1033.8;1029.8;0.0;9.7;99;4.2;12.7;2.3;NaN;958.8;954.8;0.0;5.6;36;1.1;
g_1_0h2N3Rxm;Real Betis;0;2017-12-22;SEVILLA AEROPUERTO;SEVILLA;17.3;3.3;9.1;1035.1;1029.2;0.0;4.7;05;1.1;10.4;5.9;0.0;1037.2;1034.9;0.2;3.6;99;0.6;
g_1_UXgv0qxC;Deportivo de La Coruna;0;2017-12-23;A CORUÑA;A CORUÑA;13.6;8.0;7.9;1031.1;1024.6;0.0;6.7;08;2.2;13.7;4.3;NaN;1004.7;1000.8;0.0;7.2;99;1.7;
g_1_rybra3iI;Valencia;0;2017-12-23;VALENCIA AEROPUERTO;VALENCIA;15.1;2.8;1.9;1028.8;1025.5;0.0;7.2;30;0.6;16.0;7.0;6.0;1030.8;1027.5;0.0;6.4;32;1.9;
g_1_n94Z0PM5;Real Madrid;0;2017-12-23;MADRID, RETIRO;MADRID;12.7;2.5;NaN;955.7;953.8;0.0;8.3;36;2.8;14.9;6.4;5.7;1035.0;1031.7;0.0;11.4;01;3.9;
g_1_SrvaaX2b;Sevilla;0;2018-01-06;SEVILLA AEROPUERTO;SEVILLA;13.3;6.9;7.1;1001.4;996.8;0.6;15.0;26;3.3;13.3;6.9;7.1;1001.4;996.8;0.6;15.0;26;3.3;
g_1_GldjcsMU;Las Palmas;0;2018-01-06;GRAN CANARIA AEROPUERTO;LAS PALMAS;20.5;14.5;4.7;1015.1;1009.7;4.2;16.1;34;5.3;8.3;4.5;0.0;1002.1;998.4;40.0;6.1;09;0.6;
g_1_xbcnbN6O;Valencia;0;2018-01-06;VALENCIA AEROPUERTO;VALENCIA;13.5;4.7;0.0;998.8;987.3;6.8;15.3;22;5.6;15.8;0.4;2.9;989.0;984.3;7.3;9.2;06;1.4;
g_1_tSym2ZIu;Atletico de Madrid;0;2018-01-06;MADRID, RETIRO;MADRID;6.1;2.0;NaN;926.1;920.0;20.6;10.8;03;2.5;6.1;2.0;NaN;926.1;920.0;20.6;10.8;03;2.5;
g_1_IXWBdVnH;Celta de Vigo;0;2018-01-07;VIGO AEROPUERTO;PONTEVEDRA;9.5;1.5;NaN;977.0;975.1;0.0;12.8;36;4.7;5.0;1.6;NaN;929.5;919.5;3.1;7.5;12;2.8;
g_1_Euze0Dmh;Athletic Club;1;2018-01-07;BILBAO AEROPUERTO;BIZKAIA;9.9;4.5;0.0;1004.7;995.0;0.2;10.3;04;1.9;5.9;0.1;0.0;949.3;939.9;0.5;7.2;99;0.8;
g_1_dOVFek2N;Villarreal;0;2018-01-07;CASTELLÓN - ALMASSORA;CASTELLON;13.5;5.3;6.7;1003.0;990.7;0.2;5.3;99;1.1;11.6;6.7;2.1;1001.7;999.5;4.4;17.8;02;8.9;
g_1_lbS7cBXA;Barcelona;0;2018-01-07;BARCELONA AEROPUERTO;BARCELONA;15.8;6.7;0.0;1007.8;998.5;6.8;13.3;19;3.3;13.7;3.0;8.4;1000.2;989.6;0.0;7.2;99;0.8;
g_1_A7T3biI4;Leganes;1;2018-01-07;MADRID, RETIRO;MADRID;5.0;1.6;NaN;929.5;919.5;3.1;7.5;12;2.8;8.2;2.8;0.0;977.4;969.4;0.2;7.5;02;1.7;
g_1_KIzi1gYo;Malaga;0;2018-01-08;MÁLAGA, CENTRO METEOROLÓGICO;MALAGA;9.6;6.1;NaN;1012.8;1002.5;20.0;9.2;28;1.9;13.9;5.5;4.3;1013.0;1007.8;0.0;11.4;35;5.3;
g_1_EgFTEC2o;Getafe;1;2018-01-12;MADRID, RETIRO;MADRID;7.9;-0.3;NaN;947.8;944.3;0.0;6.4;28;1.7;17.9;7.3;NaN;1022.4;1018.8;0.0;9.4;28;2.2;
g_1_GQNMit1k;Deportivo de La Coruna;0;2018-01-13;A CORUÑA;A CORUÑA;11.5;7.8;1.4;1010.7;1006.1;14.4;11.7;24;2.5;13.8;2.5;4.4;1015.9;1009.0;0.0;10.3;22;1.1;
g_1_0jRojTPp;Eibar;1;2018-01-13;BILBAO AEROPUERTO;BIZKAIA;11.6;5.9;0.0;1013.9;1009.7;19.2;16.9;20;3.9;5.6;2.4;NaN;944.5;939.0;6.0;7.2;26;1.1;
g_1_xzPIhMoq;Real Madrid;0;2018-01-13;MADRID, RETIRO;MADRID;5.6;2.4;NaN;944.5;939.0;6.0;7.2;26;1.1;13.7;6.1;2.8;1018.1;1010.2;0.0;6.4;30;2.2;
g_1_vmLKf9HT;Girona;1;2018-01-13;GIRONA AEROPUERTO;GIRONA;12.9;-3.4;2.6;1006.8;998.9;4.3;12.8;99;4.4;20.5;16.8;5.0;1020.4;1017.5;1.4;12.5;02;5.8;
g_1_rZ6pBU1A;Real Sociedad;0;2018-01-14;DONOSTIA/SAN SEBASTIÁN, IGUELDO;GIPUZKOA;8.0;4.9;0.0;991.9;984.6;14.2;12.8;32;5.8;12.2;6.5;6.0;1020.5;1012.9;0.0;10.8;22;3.3;
g_1_hpEXDWHi;Espanyol;0;2018-01-14;BARCELONA AEROPUERTO;BARCELONA;12.2;6.5;6.0;1020.5;1012.9;0.0;10.8;22;3.3;9.9;6.1;0.0;1019.8;1011.4;23.8;10.8;32;0.8;
g_1_AL8xDjXc;Alaves;0;2018-01-14;VITORIA GASTEIZ AEROPUERTO;ARABA/ALAVA;6.9;2.0;0.9;963.3;955.9;0.9;7.2;99;3.6;12.5;5.1;4.2;1019.8;1015.1;0.8;6.1;03;0.6;
g_1_dxBlAlHG;Levante;0;2018-01-14;VALENCIA AEROPUERTO;VALENCIA;13.6;3.7;2.3;1014.2;1009.1;0.0;10.3;99;3.6;10.6;3.0;NaN;995.0;988.1;0.1;4.7;99;2.5;
g_1_lC7tCAn4;Real Betis;0;2018-01-15;SEVILLA AEROPUERTO;SEVILLA;14.2;2.9;9.7;1027.7;1018.7;NA;8.9;09;2.5;8.5;0.0;NaN;949.9;944.4;0.0;6.4;22;1.1;
g_1_8vcUAL7R;Getafe;1;2018-01-19;MADRID, RETIRO;MADRID;14.8;3.0;NaN;947.4;942.0;0.0;5.3;04;1.4;12.0;9.5;0.0;1022.4;1017.4;14.0;11.4;32;3.9;
g_1_Gpn44Jpe;Las Palmas;0;2018-01-20;GRAN CANARIA AEROPUERTO;LAS PALMAS;21.2;16.5;8.8;1022.9;1018.8;0.0;13.9;99;6.9;21.0;7.7;6.9;1017.4;1012.5;0.0;10.3;29;4.7;
g_1_2sMUkKV1;Villarreal;0;2018-01-20;CASTELLÓN - ALMASSORA;CASTELLON;18.8;9.1;0.8;1018.7;1013.7;0.0;9.7;30;3.1;21.0;7.7;6.9;1017.4;1012.5;0.0;10.3;29;4.7;
g_1_4Ar05aVl;Atletico de Madrid;0;2018-01-20;MADRID, RETIRO;MADRID;12.0;3.8;NaN;949.6;947.2;0.0;7.8;28;1.9;15.0;2.6;4.0;1005.5;999.6;0.0;7.8;24;1.7;
g_1_j32PB1hL;Espanyol;0;2018-01-20;BARCELONA AEROPUERTO;BARCELONA;16.6;5.9;6.9;1022.0;1015.2;0.0;13.3;99;6.7;17.3;4.0;8.3;1027.2;1022.2;NA;6.1;21;0.6;
g_1_Ik4HDNN8;Real Betis;0;2018-01-21;SEVILLA AEROPUERTO;SEVILLA;18.3;4.1;7.1;1028.7;1025.3;NA;4.7;99;0.8;23.8;15.0;6.0;1020.6;1014.9;0.0;14.4;99;7.8;
g_1_4n0DE382;Real Sociedad;0;2018-01-21;DONOSTIA/SAN SEBASTIÁN, IGUELDO;GIPUZKOA;12.6;10.9;0.0;998.1;994.0;1.5;18.3;35;8.3;12.2;9.8;NaN;1002.3;1000.2;3.8;9.2;27;1.1;
g_1_OjNQj0Ge;Real Madrid;0;2018-01-21;MADRID, RETIRO;MADRID;16.2;5.8;NaN;951.8;949.6;0.0;8.3;33;1.1;14.7;12.3;0.0;1024.2;1022.1;1.8;8.6;20;2.2;
g_1_CC3LCswF;Alaves;0;2018-01-21;VITORIA GASTEIZ AEROPUERTO;ARABA/ALAVA;14.9;3.3;3.6;969.2;965.4;0.1;8.9;32;2.5;16.2;5.8;NaN;951.8;949.6;0.0;8.3;33;1.1;
g_1_Amqd6uGr;Eibar;1;2018-01-22;BILBAO AEROPUERTO;BIZKAIA;15.4;7.9;0.4;1025.5;1023.4;7.2;8.3;99;2.2;24.8;12.2;NaN;1022.8;1019.1;0.0;9.7;30;1.7;
g_1_d47wJIal;Athletic Club;1;2018-01-26;BILBAO AEROPUERTO;BIZKAIA;11.9;6.4;0.7;1026.2;1016.0;22.3;16.1;35;1.9;11.9;6.4;0.7;1026.2;1016.0;22.3;16.1;35;1.9;
g_1_QFTfRth8;Villarreal;0;2018-01-27;CASTELLÓN - ALMASSORA;CASTELLON;15.3;9.1;7.5;1025.9;1017.4;1.2;14.7;02;2.5;8.7;5.1;3.5;1005.6;997.3;3.7;16.1;01;3.1;
g_1_OQwzIxFf;Malaga;0;2018-01-27;MÁLAGA, CENTRO METEOROLÓGICO;MALAGA;16.1;7.2;NaN;1022.6;1019.6;4.9;11.4;01;3.1;12.3;4.3;1.4;1017.8;1004.8;0.0;13.3;99;4.4;
g_1_b9y93w01;Valencia;0;2018-01-27;VALENCIA AEROPUERTO;VALENCIA;14.8;4.1;7.9;1022.5;1015.3;3.6;15.3;03;3.3;10.0;3.8;NaN;953.6;948.4;0.0;12.5;04;3.3;
g_1_x0zD2cF7;Deportivo de La Coruna;0;2018-01-27;A CORUÑA;A CORUÑA;12.3;8.3;0.0;1029.0;1026.7;0.8;7.8;36;0.8;14.8;4.1;7.9;1022.5;1015.3;3.6;15.3;03;3.3;
g_1_nVH3PKMK;Barcelona;0;2018-01-28;BARCELONA AEROPUERTO;BARCELONA;15.7;8.2;7.7;1037.0;1032.0;0.0;7.2;99;3.1;9.5;-2.2;3.6;979.5;975.7;0.0;3.1;99;0.6;
g_1_ID8ZJbpr;Sevilla;0;2018-01-28;SEVILLA AEROPUERTO;SEVILLA;16.4;3.4;6.1;1026.4;1022.3;0.0;16.4;08;6.4;13.4;3.5;NaN;958.0;952.3;0.0;15.0;04;4.7;
g_1_2HxvHdU0;Atletico de Madrid;0;2018-01-28;MADRID, RETIRO;MADRID;13.4;3.5;NaN;958.0;952.3;0.0;15.0;04;4.7;19.1;13.9;5.7;1018.9;1014.0;0.6;18.6;99;8.1;
g_1_0YL7OvxR;Leganes;1;2018-01-28;MADRID, RETIRO;MADRID;13.4;3.5;NaN;958.0;952.3;0.0;15.0;04;4.7;15.7;8.2;7.7;1037.0;1032.0;0.0;7.2;99;3.1;
g_1_46SbQ07E;Celta de Vigo;0;2018-01-29;VIGO AEROPUERTO;PONTEVEDRA;18.1;6.4;NaN;1004.1;999.4;0.0;9.7;10;0.8;19.3;9.2;3.6;1025.2;1021.9;0.0;15.0;07;7.5;
g_1_CnKUwKyE;Real Sociedad;0;2018-02-02;DONOSTIA/SAN SEBASTIÁN, IGUELDO;GIPUZKOA;6.0;1.8;2.0;986.6;980.8;14.9;16.1;01;3.6;10.3;6.0;5.8;1015.9;1011.6;2.8;14.7;34;2.8;
g_1_AstnFzaD;Levante;0;2018-02-03;VALENCIA AEROPUERTO;VALENCIA;16.0;2.3;9.8;1009.4;1004.8;1.9;13.9;99;2.8;10.3;0.2;NaN;942.0;935.1;2.3;11.1;28;3.1;
g_1_KCNxxb6Q;Alaves;0;2018-02-03;VITORIA GASTEIZ AEROPUERTO;ARABA/ALAVA;5.6;0.8;0.1;958.0;952.9;4.0;9.2;23;3.6;8.3;2.3;0.0;993.1;988.5;2.8;9.2;99;3.1;
g_1_jwJYxviK;Real Betis;0;2018-02-03;SEVILLA AEROPUERTO;SEVILLA;15.1;1.1;10.0;1020.0;1014.9;0.2;7.2;99;1.9;15.9;4.9;8.8;1010.4;1006.2;NA;11.4;35;2.2;
g_1_GK2DVeqf;Eibar;1;2018-02-03;BILBAO AEROPUERTO;BIZKAIA;9.7;2.4;0.0;1015.0;1008.8;32.1;20.6;30;1.1;15.1;1.1;10.0;1020.0;1014.9;0.2;7.2;99;1.9;
g_1_69eQSgTC;Atletico de Madrid;0;2018-02-04;MADRID, RETIRO;MADRID;5.8;1.5;NaN;935.1;929.9;17.3;10.8;04;3.6;9.5;4.7;0.0;1005.0;1000.3;12.9;10.8;23;3.9;
g_1_As2HUFb0;Girona;1;2018-02-04;GIRONA AEROPUERTO;GIRONA;7.5;-0.2;0.2;997.4;994.5;24.1;8.3;01;1.4;10.0;3.8;3.4;1010.5;1007.9;6.4;8.9;99;1.4;
g_1_ML94XHEs;Espanyol;0;2018-02-04;BARCELONA AEROPUERTO;BARCELONA;10.6;6.5;0.0;1011.9;1009.6;51.9;21.1;36;6.4;10.6;6.5;0.0;1011.9;1009.6;51.9;21.1;36;6.4;
g_1_4pa9WyUm;Getafe;1;2018-02-04;MADRID, RETIRO;MADRID;5.8;1.5;NaN;935.1;929.9;17.3;10.8;04;3.6;5.8;1.5;NaN;935.1;929.9;17.3;10.8;04;3.6;
g_1_lY0LTZD6;Las Palmas;0;2018-02-05;GRAN CANARIA AEROPUERTO;LAS PALMAS;18.7;13.5;5.9;1016.2;1012.5;2.6;14.4;35;7.5;13.7;3.5;NaN;1003.5;1000.9;0.0;7.8;01;2.8;
