ID;aemet_equipo_loc;aemet_lej;aemet_fecha;aemet_lugar;aemet_provincia;aemet_aemet_tmax;aemet_tmin;aemet_sol;aemet_presMax;aemet_presMin;aemet_prec;aemet_racha;aemet_dir;aemet_velmedia;aemet_aemet_tmax_vis;aemet_tmin_vis;aemet_sol_vis;aemet_presMax_vis;aemet_presMin_vis;aemet_prec_vis;aemet_racha_vis;aemet_dir_vis;aemet_velmedia_vis;
g_1_tdDef5n7;Real Madrid;0;2017-09-09;MADRID, RETIRO;MADRID;23.5;16.1;NaN;934.6;932.3;0.0;13.1;34;3.3;26.4;15.0;0.6;1001.4;996.5;6.4;12.5;26;3.9;
g_1_825sI8vE;Villarreal;0;2017-09-10;CASTELLÓN - ALMASSORA;CASTELLON;28.5;16.3;12.1;1007.1;1002.5;0.0;10.3;02;2.8;30.6;16.1;12.2;1012.4;1009.3;0.0;7.8;32;1.7;
g_1_ng4oHSgK;Celta de Vigo;0;2017-09-10;VIGO AEROPUERTO;PONTEVEDRA;20.4;10.8;NaN;990.1;987.5;2.3;NaN;NaN;2.5;20.3;11.0;4.2;957.5;954.0;1.4;11.4;30;2.5;
g_1_viqQ9pnf;Athletic Club;1;2017-09-10;BILBAO AEROPUERTO;BIZKAIA;21.5;13.7;1.9;1012.2;1008.5;8.6;13.3;99;3.1;24.7;10.5;11.2;994.7;989.9;0.0;8.9;20;1.7;
g_1_KnCagP1D;Deportivo de La Coruna;0;2017-09-10;A CORUÑA;A CORUÑA;20.2;15.3;3.2;1011.4;1008.8;2.3;10.0;24;3.3;18.6;13.2;3.5;985.3;981.1;6.7;19.2;01;7.5;
g_1_K20N8410;Malaga;0;2017-09-11;MÁLAGA, CENTRO METEOROLÓGICO;MALAGA;30.8;17.8;NaN;1009.2;1006.3;0.0;5.8;14;2.2;27.3;20.1;NaN;1011.4;1009.2;0.1;15.3;02;7.5;
g_1_0MLdN3Gg;Eibar;1;2017-09-15;BILBAO AEROPUERTO;BIZKAIA;17.1;10.3;2.3;1016.7;1013.1;20.0;8.9;99;1.1;22.8;14.0;NaN;938.3;936.3;0.0;11.9;04;3.1;
g_1_pAN8K10C;Atletico de Madrid;0;2017-09-16;MADRID, RETIRO;MADRID;21.2;10.7;NaN;940.4;937.5;0.0;7.8;28;1.7;31.2;18.9;NaN;1009.8;1004.8;0.0;7.5;30;1.4;
g_1_8OtIUoOJ;Real Betis;0;2017-09-16;SEVILLA AEROPUERTO;SEVILLA;27.9;13.5;11.9;1013.2;1008.5;0.0;10.3;99;4.2;19.4;12.0;8.2;1013.0;1011.1;NA;6.7;08;2.2;
g_1_IcWiOq1m;Getafe;1;2017-09-16;MADRID, RETIRO;MADRID;21.2;10.7;NaN;940.4;937.5;0.0;7.8;28;1.7;21.8;12.0;9.1;1016.3;1012.3;0.0;9.2;99;3.9;
g_1_hGbV6rWC;Levante;0;2017-09-16;VALENCIA AEROPUERTO;VALENCIA;23.3;13.0;7.0;1010.5;1005.8;NA;8.9;12;3.6;23.3;13.0;7.0;1010.5;1005.8;NA;8.9;12;3.6;
g_1_6J2Z52oJ;Real Sociedad;0;2017-09-17;DONOSTIA/SAN SEBASTIÁN, IGUELDO;GIPUZKOA;17.6;11.9;3.0;989.0;986.6;8.7;12.5;36;3.9;24.0;11.0;NaN;941.3;939.1;0.0;7.5;20;1.4;
g_1_6JO4Lso6;Las Palmas;0;2017-09-17;GRAN CANARIA AEROPUERTO;LAS PALMAS;26.0;21.5;NaN;1015.7;1011.3;0.0;15.3;02;8.6;20.7;10.0;2.5;1015.2;1012.7;5.2;10.8;33;3.3;
g_1_CdP0MNVa;Girona;1;2017-09-17;GIRONA AEROPUERTO;GIRONA;26.0;8.0;10.3;1003.2;999.4;0.0;11.4;24;4.2;29.9;13.2;11.9;1015.8;1012.9;0.0;11.4;99;3.1;
g_1_nFuMT5wQ;Alaves;0;2017-09-17;VITORIA GASTEIZ AEROPUERTO;ARABA/ALAVA;20.1;2.3;7.1;960.4;958.2;5.2;9.2;04;2.2;25.7;14.3;10.6;1014.1;1010.3;0.0;8.3;16;2.8;
g_1_v7XmPPos;Espanyol;0;2017-09-18;BARCELONA AEROPUERTO;BARCELONA;22.0;18.3;3.0;1019.4;1015.3;4.9;12.5;03;6.4;19.4;12.8;NaN;994.6;988.6;1.0;8.9;25;3.9;
g_1_hGpzyNpg;Barcelona;0;2017-09-19;BARCELONA AEROPUERTO;BARCELONA;23.5;16.2;10.1;1020.9;1018.1;0.0;8.3;35;3.6;20.8;10.6;7.9;1021.9;1020.0;0.0;7.2;34;1.7;
g_1_M9ijXvpI;Valencia;0;2017-09-19;VALENCIA AEROPUERTO;VALENCIA;28.0;14.8;11.6;1014.2;1011.2;0.0;10.8;11;3.9;29.9;20.0;NaN;1015.0;1012.4;0.0;8.6;12;2.8;
g_1_txHHIuVO;Real Madrid;0;2017-09-20;MADRID, RETIRO;MADRID;27.2;13.1;NaN;944.9;940.3;0.0;6.7;04;0.8;32.9;15.5;11.1;1015.9;1011.4;0.0;7.8;22;1.1;
g_1_QsbsZ0F5;Sevilla;0;2017-09-20;SEVILLA AEROPUERTO;SEVILLA;32.9;15.5;11.1;1015.9;1011.4;0.0;7.8;22;1.1;25.7;21.4;NaN;1015.8;1012.6;0.0;18.9;03;8.9;
g_1_fu5asP7P;Deportivo de La Coruna;0;2017-09-20;A CORUÑA;A CORUÑA;21.5;12.9;11.0;1015.6;1009.9;2.4;5.8;30;1.1;26.0;2.9;8.4;965.0;958.2;NA;5.0;99;1.4;
g_1_86mnYKUB;Athletic Club;1;2017-09-20;BILBAO AEROPUERTO;BIZKAIA;25.5;8.6;10.6;1020.2;1012.5;0.0;6.1;99;2.5;27.2;13.1;NaN;944.9;940.3;0.0;6.7;04;0.8;
g_1_niawzs0a;Leganes;1;2017-09-20;MADRID, RETIRO;MADRID;27.2;13.1;NaN;944.9;940.3;0.0;6.7;04;0.8;24.2;10.3;NaN;1005.9;1002.5;0.0;10.8;99;4.2;
g_1_2oIDJLFI;Levante;0;2017-09-21;VALENCIA AEROPUERTO;VALENCIA;27.1;15.4;10.8;1011.4;1008.5;0.0;9.7;08;3.1;19.3;13.9;8.1;991.0;986.3;0.0;6.9;34;3.1;
g_1_EPoWy3Vn;Celta de Vigo;0;2017-09-21;VIGO AEROPUERTO;PONTEVEDRA;19.4;13.4;NaN;990.6;987.2;4.3;10.8;01;3.9;29.0;15.4;NaN;941.1;938.5;0.0;6.1;24;0.8;
g_1_W0dRxqGt;Villarreal;0;2017-09-21;CASTELLÓN - ALMASSORA;CASTELLON;27.7;17.6;9.9;1013.5;1011.0;0.0;6.7;14;2.5;26.2;16.5;8.1;1018.9;1016.2;0.0;10.8;23;5.6;
g_1_M9DLnKq5;Girona;1;2017-09-23;GIRONA AEROPUERTO;GIRONA;25.5;12.9;5.0;1005.9;1003.3;0.0;11.4;23;2.5;25.4;17.2;2.0;1021.0;1018.4;0.0;8.3;22;4.2;
g_1_6avcTVrp;Malaga;0;2017-09-23;MÁLAGA, CENTRO METEOROLÓGICO;MALAGA;29.1;21.3;NaN;1015.5;1011.9;0.0;8.3;15;3.1;30.7;13.7;10.5;1017.0;1011.5;0.0;9.7;99;3.3;
g_1_fcM4j2pt;Alaves;0;2017-09-23;VITORIA GASTEIZ AEROPUERTO;ARABA/ALAVA;27.8;7.7;10.9;962.2;958.6;NA;8.3;21;2.2;26.8;15.7;NaN;944.3;941.6;0.0;6.7;23;1.1;
g_1_UZGTpbEH;Atletico de Madrid;0;2017-09-23;MADRID, RETIRO;MADRID;26.8;15.7;NaN;944.3;941.6;0.0;6.7;23;1.1;32.3;18.0;11.3;1015.6;1012.5;0.0;7.2;27;1.9;
g_1_GWjfWbaO;Real Sociedad;0;2017-09-24;DONOSTIA/SAN SEBASTIÁN, IGUELDO;GIPUZKOA;23.0;14.8;9.5;990.8;987.1;2.5;13.1;35;1.9;31.0;15.1;11.4;1013.6;1009.6;0.0;8.9;11;3.9;
g_1_voOGm0Ub;Eibar;1;2017-09-24;BILBAO AEROPUERTO;BIZKAIA;26.5;13.6;9.8;1016.9;1012.5;0.5;10.8;31;3.3;17.7;10.4;NaN;992.8;989.0;1.7;8.3;19;1.4;
g_1_00CPovaB;Las Palmas;0;2017-09-24;GRAN CANARIA AEROPUERTO;LAS PALMAS;26.8;20.5;NaN;1016.8;1009.9;0.0;12.8;02;5.0;29.0;16.6;NaN;945.6;942.0;0.0;8.3;23;1.4;
g_1_SAKCltFh;Getafe;1;2017-09-24;MADRID, RETIRO;MADRID;29.0;16.6;NaN;945.6;942.0;0.0;8.3;23;1.4;28.4;17.2;11.3;1015.2;1012.7;0.0;6.1;11;1.7;
g_1_YmL8kMan;Espanyol;0;2017-09-24;BARCELONA AEROPUERTO;BARCELONA;26.0;18.6;3.5;1019.7;1017.7;0.0;10.8;99;5.3;19.9;15.6;1.6;1014.1;1010.3;2.8;10.0;23;3.1;
g_1_fNkbVIEU;Real Betis;0;2017-09-25;SEVILLA AEROPUERTO;SEVILLA;34.0;17.0;11.4;1017.6;1013.0;0.0;10.8;18;2.5;35.4;15.9;10.8;1012.4;1006.7;0.0;13.9;04;5.6;
