ID;jornada;horario;local;visitante;Date;FTHG;FTAG;FTR;HS;AS;HC;AC;B365H;B365D;B365A;BWH;BWD;BWA;BbAv>2.5;BbAv<2.5;porcen_home_puntos;porcen_away_puntos;porcen_total_puntos_1;porcen_total_puntos_2;porcen_home_puntos_racha3;porcen_away_puntos_racha3;porcen_total_puntos_1_racha3;porcen_total_puntos_2_racha3;porcen_home_goles_propios;porcen_home_goles_ajenos;porcen_home_goles_totales;porcen_away_goles_propios;porcen_away_goles_ajenos;porcen_away_goles_totales;porcen_goles_propios_1;porcen_goles_propios_2;porcen_goles_ajenos_1;porcen_goles_ajenos_2;porcen_goles_totales_1;porcen_goles_totales_2;ult_result_1;ult_result_2;ult_result_3;ult_result_4;ult_result_dif_goles_1;ult_result_dif_goles_2;ult_result_dif_goles_3;ult_result_dif_goles_4;ult_result_dif_goles_5;
g_1_Svvr84N6;2;25.08. 22:15;Valladolid;Barcelona;180825;0;1;A;7;10;6;10;17;7.5;1.16;15;7;1.19;1.42;2.8;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;0;0;1;0;0;0;0;0;1
g_1_Yu74P5hs;2;25.08. 20:15;Atl. Madrid;Rayo Vallecano;180825;1;0;H;9;13;8;5;1.16;7;21;1.17;7.25;18;1.57;2.38;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;0;0;1;0;0;0;0;0;1
g_1_WCpZ9Qhf;2;25.08. 18:15;Alaves;Betis;180825;0;0;D;16;13;5;6;2.8;3.25;2.6;2.65;3.3;2.6;2.13;1.7;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;0;1;0;0;0;0;1;1;0
g_1_xALYURUJ;2;26.08. 22:15;Girona;Real Madrid;180826;1;4;A;10;20;4;7;8;5.5;1.36;9.25;4.75;1.36;1.5;2.52;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;0;0;0;0;0;1;0;0;0
g_1_M1wn7OxD;2;26.08. 22:15;Sevilla;Villarreal;180826;0;0;D;19;14;4;5;1.72;4.2;4.33;1.72;3.9;4.75;1.71;2.12;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;1;0;0;1;0;0;0;0;0
g_1_G0KxUopQ;2;26.08. 18:15;Espanyol;Valencia;180826;2;0;H;19;16;6;10;3.25;3.2;2.37;2.95;3.3;2.45;2.07;1.74;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;0;1;0;0;0;0;1;1;0
g_1_pGA8OP7m;2;27.08. 22:00;Ath Bilbao;Huesca;180827;2;2;D;14;9;3;2;1.61;3.6;6.5;1.6;3.75;6.5;2.01;1.79;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;0;0;1;0;0;0;0;0;1
g_1_Eyzv9p80;2;27.08. 20:15;Levante;Celta Vigo;180827;1;2;A;15;21;7;7;2.4;3.25;3;2.5;3.25;2.95;2.03;1.78;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;0;1;0;0;0;0;0;1;0
g_1_QZVswPMt;3;31.08. 22:00;Eibar;Real Sociedad;180831;2;1;H;8;7;4;2;2.75;3.25;2.62;2.75;3.2;2.65;2.2;1.67;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;1;0;0;1;0;0;0;0;0
g_1_z53LLNi6;3;31.08. 22:00;Villarreal;Girona;180831;0;1;A;13;14;7;2;1.57;4;6;1.55;4.2;6;1.91;1.89;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;0;1;0;0;0;0;1;1;0
g_1_OQqGs5EP;3;31.08. 20:00;Getafe;Valladolid;180831;0;0;D;12;7;6;7;1.9;3.2;4.75;1.85;3.25;5;2.59;1.49;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;0;0;1;0;0;0;0;0;1
g_1_vaomzN6a;3;01.09. 20:45;Real Madrid;Leganes;180901;4;1;H;17;8;8;1;1.12;9;21;1.12;8.75;23;1.33;3.23;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;0;0;0;0;0;1;0;0;0
g_1_Ee2PKs7C;3;01.09. 18:30;Celta Vigo;Atl. Madrid;180901;2;0;H;10;9;2;8;5.5;3.4;1.75;5;3.6;1.75;2.1;1.72;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;0;1;0;0;0;0;0;1;0
g_1_6omuxqxm;3;02.09. 20:45;Betis;Sevilla;180902;1;0;H;11;8;5;8;2.8;3.5;2.45;2.8;3.5;2.45;1.58;2.36;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;1;0;0;1;0;0;0;0;0
g_1_pxnqy3ig;3;02.09. 18:30;Barcelona;Huesca;180902;8;2;H;31;7;9;4;1.08;11;29;1.06;12;36;1.21;4.3;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;0;0;1;0;0;0;0;0;1
g_1_6VbHM3x0;3;02.09. 16:15;Alaves;Espanyol;180902;2;1;H;8;11;0;12;2.9;3.1;2.54;2.85;3.1;2.65;2.56;1.5;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;0;0;0;0;0;1;0;0;0
g_1_ANeYILyP;3;02.09. 12:00;Levante;Valencia;180902;2;2;D;13;18;3;5;3.75;3.4;2;3.7;3.3;2.1;1.82;1.99;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;1;0;0;1;0;0;0;0;0
g_1_OO8vU61N;3;14.09. 21:00;Huesca;Rayo Vallecano;180914;0;1;A;14;14;6;3;2.14;3.5;3.4;2.1;3.6;3.4;1.85;1.96;NA;NA;0.44;NA;NA;NA;0.44;NA;NA;NA;NA;NA;NA;NA;2.0;NA;2.0;NA;5.67;NA;0;0;0;1;0;0;0;0;0;1
g_1_x86SW8H4;4;15.09. 20:45;Ath Bilbao;Real Madrid;180915;1;1;D;11;16;1;2;6;4.33;1.53;5.5;4.4;1.57;1.48;2.59;NA;NA;NA;1.0;NA;NA;NA;1.0;NA;NA;NA;NA;NA;NA;NA;3.33;NA;3.33;NA;4.0;0;1;0;0;1;0;0;0;0;0
g_1_EgXdnlHi;4;15.09. 18:30;Valencia;Betis;180915;0;0;D;12;11;5;4;1.75;3.75;4.75;1.75;3.9;4.5;1.71;2.13;NA;NA;0.22;0.44;NA;NA;0.22;0.44;NA;NA;NA;NA;NA;NA;1.0;0.33;1.0;0.33;2.67;1.33;1;0;0;0;0;1;1;0;0;0
g_1_z3YhmU1o;4;15.09. 16:15;Real Sociedad;Barcelona;180915;1;2;A;8;12;1;6;7;5.25;1.4;7;5.25;1.4;1.44;2.72;NA;NA;0.44;1.0;NA;NA;0.44;1.0;NA;NA;NA;NA;NA;NA;1.67;4.0;1.67;4.0;3.33;4.67;0;0;1;0;0;0;0;1;1;0
g_1_Gb5WVSWA;4;15.09. 13:00;Atl. Madrid;Eibar;180915;1;1;D;18;12;14;3;1.36;4.33;12;1.36;4.6;10;2.03;1.79;NA;NA;0.44;0.33;NA;NA;0.44;0.33;NA;NA;NA;NA;NA;NA;0.67;1.0;0.67;1.0;1.67;2.67;0;1;0;0;1;0;0;0;0;0
g_1_ALQ5pSo4;4;16.09. 20:45;Sevilla;Getafe;180916;0;2;A;15;10;7;1;1.55;4;7;1.53;4.1;6.5;1.9;1.9;NA;NA;0.44;0.44;NA;NA;0.44;0.44;NA;NA;NA;NA;NA;NA;1.33;0.67;1.33;0.67;2.0;1.33;0;1;0;0;1;0;0;0;0;0
g_1_8dpBOpPp;4;16.09. 18:30;Valladolid;Alaves;180916;0;1;A;15;10;7;2;2.2;3.1;3.6;2.15;3.1;3.8;2.55;1.5;NA;NA;0.22;0.44;NA;NA;0.22;0.44;NA;NA;NA;NA;NA;NA;0.0;0.67;0.0;0.67;0.33;2.0;0;0;0;1;0;0;0;0;0;1
g_1_AL4zVnnH;4;16.09. 16:15;Espanyol;Levante;180916;1;0;H;22;16;5;4;1.72;3.6;5.25;1.78;3.5;5;1.95;1.85;NA;NA;0.44;0.44;NA;NA;0.44;0.44;NA;NA;NA;NA;NA;NA;1.33;2.0;1.33;2.0;2.33;3.33;0;1;0;0;1;0;0;0;0;0
g_1_6mbqTQGT;4;16.09. 12:00;Leganes;Villarreal;180916;0;1;A;16;9;6;1;3;3.1;2.54;3.1;3.1;2.5;2.36;1.59;NA;NA;0.11;0.11;NA;NA;0.11;0.11;NA;NA;NA;NA;NA;NA;1.33;0.33;1.33;0.33;4.0;1.33;1;0;0;0;0;1;1;0;0;0
g_1_dIM1o8Wc;4;17.09. 21:00;Girona;Celta Vigo;180917;3;2;H;11;20;3;1;2.4;3.3;3;2.35;3.3;3.1;1.88;1.91;NA;NA;0.44;0.78;NA;NA;0.44;0.78;NA;NA;NA;NA;NA;NA;0.67;1.67;0.67;1.67;2.0;2.33;1;0;0;0;0;0;1;0;0;0
g_1_xzsnQc0k;5;21.09. 21:00;Huesca;Real Sociedad;180921;0;1;A;13;7;7;5;3.6;3.4;2.1;3.6;3.4;2.1;2.04;1.78;NA;0.44;0.33;0.33;NA;0.44;0.11;0.11;NA;NA;NA;1.67;1.67;3.33;1.5;1.5;1.5;1.5;4.5;3.25;0;0;0;1;0;0;0;0;0;1
g_1_h2RpoaxF;5;22.09. 20:45;Real Madrid;Espanyol;180922;1;0;H;19;10;8;3;1.18;7;15;1.19;7.5;13.5;1.38;2.94;NA;NA;0.83;0.58;NA;NA;0.78;0.67;NA;NA;NA;NA;NA;NA;2.75;1.25;2.75;1.25;3.5;2.0;1;0;0;0;0;1;1;0;0;0
g_1_OSMtnuN8;5;22.09. 18:30;Getafe;Atl. Madrid;180922;0;2;A;11;7;1;5;5;3.3;1.8;5;3.2;1.85;2.68;1.45;NA;NA;0.58;0.42;NA;NA;0.78;0.44;NA;NA;NA;NA;NA;NA;1.0;0.75;1.0;0.75;1.5;1.75;0;0;1;0;0;0;0;0;1;0
g_1_rZODr6GG;5;22.09. 16:15;Celta Vigo;Valladolid;180922;3;3;D;12;14;7;8;1.75;3.5;5.25;1.67;3.75;5.5;2.02;1.79;NA;NA;0.58;0.17;NA;NA;0.67;0.11;NA;NA;NA;NA;NA;NA;1.75;0.0;1.75;0.0;3.0;0.5;0;0;0;1;0;0;0;0;0;1
g_1_bqrrRwoq;5;22.09. 16:15;Eibar;Leganes;180922;1;0;H;14;4;5;2;2.04;3.2;4;2.1;3.2;3.8;2.44;1.55;NA;NA;0.33;0.08;NA;NA;0.44;0.11;NA;NA;NA;NA;NA;NA;1.0;1.0;1.0;1.0;2.5;3.25;1;0;0;0;0;0;1;0;0;0
g_1_rXqfOyV1;5;22.09. 13:00;Rayo Vallecano;Alaves;180922;1;5;A;13;11;8;4;2.04;3.4;3.6;2.15;3.3;3.6;2.08;1.74;NA;NA;0.33;0.58;NA;NA;0.33;0.78;NA;NA;NA;NA;NA;NA;0.67;0.75;0.67;0.75;2.33;1.75;0;0;0;1;0;0;0;0;0;1
g_1_4rQ9qn1A;5;23.09. 20:45;Barcelona;Girona;180923;2;2;D;22;7;8;2;1.08;11;21;1.08;11.5;26;1.2;4.36;NA;NA;1.0;0.58;NA;NA;1.0;0.67;NA;NA;NA;NA;NA;NA;3.5;1.25;3.5;1.25;4.25;2.75;1;0;0;0;0;1;1;0;0;0
g_1_pxOxmL72;5;23.09. 20:00;Betis;Ath Bilbao;180923;2;2;D;15;7;6;1;2.14;3.3;3.6;2.2;3.4;3.3;1.94;1.86;NA;NA;0.42;0.56;NA;NA;0.56;0.56;NA;NA;NA;NA;NA;NA;0.25;1.67;0.25;1.67;1.0;3.0;0;0;1;0;0;0;0;1;1;0
g_1_WhQlpJiL;5;23.09. 16:15;Villarreal;Valencia;180923;0;0;D;11;12;8;6;2.25;3.25;3.3;2.35;3.4;3;1.94;1.87;NA;NA;0.33;0.25;NA;NA;0.44;0.22;NA;NA;NA;NA;NA;NA;0.5;0.75;0.5;0.75;1.25;2.0;1;0;0;0;0;0;1;0;0;0
g_1_WdtjPHFe;5;23.09. 12:00;Levante;Sevilla;180923;2;6;A;19;20;8;4;3.5;3.6;2.04;3.4;3.4;2.15;1.68;2.17;NA;NA;0.33;0.33;NA;NA;0.11;0.11;NA;NA;NA;NA;NA;NA;1.5;1.0;1.5;1.0;2.75;2.0;1;0;0;0;0;0;1;0;0;0
g_1_p06PwHUl;6;25.09. 22:00;Atl. Madrid;Huesca;180925;3;0;H;17;8;4;3;1.22;6;15;1.22;6.25;15;1.75;2.06;NA;0.44;0.53;0.27;NA;0.44;0.44;0.0;NA;NA;NA;2.0;3.67;5.67;1.0;1.2;1.0;1.2;1.8;3.8;0;0;0;1;0;0;0;0;0;1
g_1_vZHKcxMK;6;25.09. 21:00;Real Sociedad;Rayo Vallecano;180925;2;2;D;16;11;8;5;1.61;4;5.5;1.62;4;5.5;1.76;2.06;NA;NA;0.47;0.25;NA;NA;0.33;0.33;NA;NA;NA;NA;NA;NA;1.4;0.75;1.4;0.75;2.8;3.25;0;0;0;1;0;0;0;0;0;1
g_1_r7OBabi8;6;25.09. 20:00;Espanyol;Eibar;180925;1;0;H;9;8;4;3;1.9;3.3;4.5;1.91;3.3;4.4;2.39;1.57;NA;NA;0.47;0.47;NA;NA;0.33;0.78;NA;NA;NA;NA;NA;NA;1.0;1.0;1.0;1.0;1.8;2.2;0;0;1;0;0;0;0;0;1;0
g_1_IPGOddyR;6;26.09. 22:00;Sevilla;Real Madrid;180926;3;0;H;16;21;5;6;4.33;4.2;1.72;4.33;4.2;1.72;1.42;2.79;NA;NA;0.47;0.87;NA;NA;0.33;0.78;NA;NA;NA;NA;NA;NA;2.0;2.4;2.0;2.4;3.2;3.0;1;0;0;0;0;0;1;0;0;0
g_1_U3zUzFE7;6;26.09. 22:00;Valencia;Celta Vigo;180926;1;1;D;14;9;0;2;1.66;4;4.75;1.7;4;4.75;1.62;2.26;NA;NA;0.27;0.53;NA;NA;0.33;0.44;NA;NA;NA;NA;NA;NA;0.6;2.0;0.6;2.0;1.6;3.6;1;0;0;0;0;0;1;0;0;0
g_1_jw7LvcFr;6;26.09. 20:00;Ath Bilbao;Villarreal;180926;0;3;A;12;19;6;4;2.25;3.3;3.3;2.2;3.3;3.4;2.05;1.76;0.56;NA;0.5;0.33;0.56;NA;0.33;0.44;1.67;1.33;3.0;NA;NA;NA;1.75;0.4;1.75;0.4;3.25;1.0;0;1;0;0;1;0;0;0;0;0
g_1_Oj5Txype;6;26.09. 20:00;Leganes;Barcelona;180926;2;1;H;10;9;4;5;12;6;1.25;10.5;6.25;1.26;1.5;2.52;NA;NA;0.07;0.87;NA;NA;0.0;0.78;NA;NA;NA;NA;NA;NA;0.8;3.2;0.8;3.2;2.8;4.2;0;0;1;0;0;0;0;1;1;0
g_1_jDyQyea1;6;27.09. 22:00;Girona;Betis;180927;0;1;A;8;14;5;1;2.5;3.3;2.87;2.55;3.4;2.75;1.89;1.9;0.44;NA;0.53;0.4;0.44;NA;0.78;0.56;1.33;2.0;3.33;NA;NA;NA;1.4;0.6;1.4;0.6;3.0;1.6;0;0;1;0;0;0;0;0;1;0
g_1_EHFgqw7R;6;27.09. 20:00;Alaves;Getafe;180927;1;1;D;15;13;5;7;2.8;3;2.75;2.8;3;2.75;2.67;1.45;NA;NA;0.67;0.47;NA;NA;1.0;0.44;NA;NA;NA;NA;NA;NA;1.6;0.8;1.6;0.8;2.6;1.6;1;0;0;0;0;1;1;0;0;0
g_1_dASFbI6E;6;27.09. 20:00;Valladolid;Levante;180927;2;1;H;20;9;8;6;2.04;3.5;3.6;2.05;3.5;3.6;1.99;1.81;NA;NA;0.2;0.27;NA;NA;0.22;0.11;NA;NA;NA;NA;NA;NA;0.6;1.6;0.6;1.6;1.6;3.8;0;0;0;1;0;0;0;0;0;1
g_1_WStbBejK;7;28.09. 21:00;Rayo Vallecano;Espanyol;180928;2;2;D;11;12;5;3;2.8;3.3;2.6;2.7;3.2;2.75;2.05;1.77;NA;0.11;0.27;0.56;NA;0.11;0.44;0.67;NA;NA;NA;0.67;1.33;2.0;1.0;1.0;1.0;1.0;3.4;1.67;0;0;0;1;0;0;0;0;0;1
g_1_xUa7lYr7;7;29.09. 20:45;Real Madrid;Atl. Madrid;180929;0;0;D;15;8;8;6;2;3.5;3.75;2.1;3.4;3.6;1.88;1.92;1.0;0.44;0.72;0.61;1.0;0.44;0.44;0.78;2.33;0.33;2.67;1.0;1.0;2.0;2.0;1.33;2.0;1.33;3.0;2.0;0;1;0;0;1;0;0;0;0;0
g_1_WWdajfEf;7;29.09. 18:30;Eibar;Sevilla;180929;1;3;A;15;7;6;3;3.3;3.4;2.2;3.2;3.5;2.2;1.95;1.85;0.67;0.67;0.39;0.56;0.67;0.67;0.44;0.67;1.33;1.0;2.33;3.33;1.33;4.67;0.83;2.17;0.83;2.17;2.0;3.17;1;0;0;0;0;1;1;0;0;0
g_1_hxrfCyyE;7;29.09. 16:15;Barcelona;Ath Bilbao;180929;1;1;D;20;8;4;3;1.16;7.5;17;1.16;8;16.5;1.31;3.35;0.78;NA;0.72;0.4;0.78;NA;0.44;0.22;4.33;1.33;5.67;NA;NA;NA;2.83;1.4;2.83;1.4;4.0;3.2;1;0;0;0;0;1;1;0;0;0
g_1_r703kET0;7;29.09. 13:00;Real Sociedad;Valencia;180929;0;1;A;10;9;3;0;2.2;3.4;3.2;2.25;3.4;3.2;1.92;1.87;NA;0.22;0.44;0.28;NA;0.22;0.44;0.33;NA;NA;NA;0.67;1.33;2.0;1.5;0.67;1.5;0.67;3.0;1.67;0;0;1;0;0;0;0;0;1;0
g_1_AH8jhGqr;7;30.09. 20:45;Betis;Leganes;180930;1;0;H;17;11;7;1;1.64;3.8;5.5;1.67;3.8;5.25;2.04;1.78;0.44;0.0;0.5;0.22;0.44;0.0;0.56;0.33;1.0;1.67;2.67;0.67;2.33;3.0;0.67;1.0;0.67;1.0;1.5;2.83;1;0;0;0;0;0;1;0;0;0
g_1_GKbBmhbD;7;30.09. 18:30;Levante;Alaves;180930;2;1;H;14;14;9;4;2.14;3.5;3.3;2.2;3.3;3.4;2;1.81;0.11;0.67;0.22;0.61;0.11;0.67;0.0;0.78;1.67;3.33;5.0;2.0;1.33;3.33;1.5;1.5;1.5;1.5;3.67;2.5;0;0;1;0;0;0;0;1;1;0
g_1_2BXT5ZDs;7;30.09. 16:15;Villarreal;Valladolid;180930;0;1;A;27;9;7;2;1.53;4;6.5;1.55;3.9;6.75;1.96;1.84;0.11;0.33;0.44;0.33;0.11;0.33;0.78;0.44;0.33;1.0;1.33;1.0;1.0;2.0;0.83;0.83;0.83;0.83;1.33;1.83;0;0;0;1;0;0;0;0;0;1
g_1_Qkt2AF5Q;7;30.09. 12:00;Huesca;Girona;180930;1;1;D;13;14;5;5;2.5;3.3;2.9;2.55;3.2;2.9;2.13;1.71;NA;NA;0.22;0.44;NA;NA;0.0;0.44;NA;NA;NA;NA;NA;NA;1.0;1.17;1.0;1.17;3.67;2.67;0;0;0;1;0;0;0;0;0;1
g_1_l87fizal;7;01.10. 21:00;Celta Vigo;Getafe;181001;1;1;D;8;12;3;9;2;3.5;3.8;2;3.3;4;2.1;1.73;0.56;0.44;0.5;0.44;0.56;0.44;0.22;0.44;2.0;1.33;3.33;1.0;1.0;2.0;1.83;0.83;1.83;0.83;3.33;1.67;0;1;0;0;1;0;0;0;0;0
g_1_OQLx4Drf;8;05.10. 21:00;Ath Bilbao;Real Sociedad;181005;1;3;A;13;6;11;0;2.04;3.4;3.8;2.05;3.4;3.75;2.06;1.76;0.42;0.58;0.39;0.38;0.22;0.44;0.22;0.44;1.25;1.75;3.0;1.5;1.25;2.75;1.33;1.29;1.33;1.29;3.0;2.71;0;1;0;0;1;0;0;0;0;0
g_1_69Dg0VsJ;8;06.10. 20:45;Leganes;Rayo Vallecano;181006;1;0;H;13;6;6;4;2;3.3;4;2.1;3.25;3.75;2.2;1.67;0.44;0.44;0.19;0.28;0.44;0.44;0.33;0.22;1.33;1.33;2.67;1.0;1.0;2.0;0.86;1.17;0.86;1.17;2.57;3.5;0;0;0;1;0;0;0;0;0;1
g_1_pzNY4gTm;8;06.10. 18:30;Alaves;Real Madrid;181006;1;0;H;8;13;4;3;9;4.75;1.36;7.75;4.75;1.4;1.53;1.59;0.56;0.44;0.52;0.67;0.56;0.44;0.44;0.44;1.0;0.67;1.67;1.67;1.67;3.33;1.43;1.71;1.43;1.71;2.57;2.57;0;0;1;0;0;0;0;0;1;0
g_1_h69k1BSC;8;06.10. 16:15;Getafe;Levante;181006;0;1;A;15;12;10;2;1.72;3.6;5.25;1.72;3.6;5.25;1.95;1.85;0.44;0.33;0.43;0.33;0.44;0.33;0.22;0.33;0.67;0.67;1.33;1.33;1.0;2.33;0.86;1.57;0.86;1.57;1.71;3.57;0;0;1;0;0;0;0;0;1;0
g_1_vcr8Jhrs;8;06.10. 13:00;Girona;Eibar;181006;2;3;A;10;12;4;9;2.1;3.2;3.8;2.15;3.3;3.6;2.32;1.6;0.33;0.11;0.43;0.33;0.33;0.11;0.22;0.33;1.0;1.75;2.75;0.33;1.33;1.67;1.14;0.86;1.14;0.86;2.57;2.29;0;0;1;0;0;0;0;1;1;0
g_1_KC1yPEKJ;8;07.10. 20:45;Valencia;Barcelona;181007;1;1;D;10;10;5;2;4.75;4.2;1.64;4.6;4.1;1.7;1.54;2.43;0.33;0.67;0.38;0.67;0.33;0.67;0.56;0.22;0.67;0.67;1.33;1.33;1.0;2.33;0.71;2.57;0.71;2.57;1.57;3.71;0;1;0;0;1;0;0;0;0;0
g_1_AsKp2iD6;8;07.10. 18:30;Espanyol;Villarreal;181007;3;1;H;28;13;10;3;2.25;3.2;3.4;2.25;3.2;3.4;2.27;1.63;1.0;0.78;0.52;0.38;1.0;0.78;0.44;0.44;1.33;0.0;1.33;1.33;0.0;1.33;1.14;0.71;1.14;0.71;2.0;1.29;0;1;0;0;1;0;0;0;0;0
