ID;jornada;horario;local;visitante;Date;FTHG;FTAG;FTR;HS;AS;HC;AC;B365H;B365D;B365A;BWH;BWD;BWA;BbAv>2.5;BbAv<2.5;porcen_home_puntos;porcen_away_puntos;porcen_total_puntos_1;porcen_total_puntos_2;porcen_home_puntos_racha3;porcen_away_puntos_racha3;porcen_total_puntos_1_racha3;porcen_total_puntos_2_racha3;porcen_home_goles_propios;porcen_home_goles_ajenos;porcen_home_goles_totales;porcen_away_goles_propios;porcen_away_goles_ajenos;porcen_away_goles_totales;porcen_goles_propios_1;porcen_goles_propios_2;porcen_goles_ajenos_1;porcen_goles_ajenos_2;porcen_goles_totales_1;porcen_goles_totales_2;ult_result_1;ult_result_2;ult_result_3;ult_result_4;ult_result_dif_goles_1;ult_result_dif_goles_2;ult_result_dif_goles_3;ult_result_dif_goles_4;ult_result_dif_goles_5;
g_1_xYZf9g2q;1;17.08. 22:15;Betis;Levante;180817;0;3;A;22;6;5;3;1.66;4;5;1.7;3.7;5.25;1.76;2.06;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;0;0;0;0;1;1;0;0;0
g_1_CjS76in2;1;17.08. 20:15;Girona;Valladolid;180817;0;0;D;13;2;3;2;1.75;3.6;5;1.75;3.5;5.25;2.13;1.71;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;0;0;1;0;0;0;0;0;1
g_1_vcKgUfv9;1;18.08. 22:15;Barcelona;Alaves;180818;3;0;H;25;3;7;1;1.11;10;21;1.11;10;20;1.34;3.18;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;0;0;0;0;0;1;0;0;0
g_1_hMoVA6wl;1;18.08. 20:15;Villarreal;Real Sociedad;180818;1;2;A;16;8;4;6;2.04;3.4;3.8;2.05;3.3;3.9;1.99;1.81;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;0;0;0;0;1;1;0;0;0
g_1_GOYb8DHk;1;18.08. 18:15;Celta Vigo;Espanyol;180818;1;1;D;12;14;8;7;1.85;3.5;4.5;1.91;3.4;4.25;2.06;1.76;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;1;0;0;1;0;0;0;0;0
g_1_boXRBnOs;1;19.08. 22:15;Real Madrid;Getafe;180819;2;0;H;10;4;3;0;1.2;7;13;1.18;7.25;16;1.45;2.66;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;0;0;0;0;1;1;0;0;0
g_1_QgGkVzP2;1;19.08. 20:15;Rayo Vallecano;Sevilla;180819;1;4;A;13;17;2;6;3.25;3.6;2.14;3.5;3.5;2.1;1.76;2.04;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;0;0;1;0;0;0;0;0;1
g_1_YaT37XWe;1;19.08. 18:15;Eibar;Huesca;180819;1;2;A;18;8;7;0;1.66;3.75;5.5;1.7;3.7;5.25;1.88;1.91;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;0;0;1;0;0;0;0;0;1
g_1_KhmTDZgS;1;20.08. 22:00;Ath Bilbao;Leganes;180820;2;1;H;17;12;6;2;1.75;3.3;5.5;1.78;3.5;5;2.35;1.58;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;0;0;0;0;1;1;0;0;0
g_1_ML9bTEgF;1;20.08. 20:00;Valencia;Atl. Madrid;180820;1;1;D;13;9;4;10;3;3.2;2.5;2.85;3.25;2.55;2.33;1.59;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;1;0;0;1;0;0;0;0;0
g_1_0hxj6rhJ;2;24.08. 22:15;Leganes;Real Sociedad;180824;2;2;D;18;7;5;0;3.5;3.3;2.1;3.5;3.2;2.2;2.36;1.58;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;0;0;0;0;0;1;0;0;0
g_1_Sv0DNqNg;2;24.08. 20:15;Getafe;Eibar;180824;2;0;H;7;9;5;5;1.95;3.2;4.33;1.95;3.3;4.2;2.62;1.47;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;1;0;0;1;0;0;0;0;0
