ID;jornada;horario;local;visitante;Date;FTHG;FTAG;FTR;HS;AS;HC;AC;B365H;B365D;B365A;BWH;BWD;BWA;BbAv>2.5;BbAv<2.5;
g_1_no2ChTXm;38;19.05. 12:00;Real Madrid;Betis;19/05/2019;0;2;A;9;9;1;5;1.57;4.75;4.75;1.57;4.75;5;1.3;3.42;
g_1_dt5ovUIf;38;18.05. 20:45;Alaves;Girona;18/05/2019;2;1;H;14;13;6;4;2.25;3.5;3.1;2.3;3.5;3;1.76;2.05;
g_1_zX3kwlY0;38;18.05. 20:45;Celta Vigo;Rayo Vallecano;18/05/2019;2;2;D;14;11;3;5;1.45;4.75;7;1.45;4.75;6.5;1.45;2.66;
g_1_p2ot0BuE;38;18.05. 20:45;Huesca;Leganes;18/05/2019;2;1;H;15;9;4;6;2.5;3.75;2.62;2.5;3.7;2.65;1.69;2.15;
g_1_Iegfx8m7;38;18.05. 16:15;Espanyol;Real Sociedad;18/05/2019;2;0;H;9;11;4;5;2.3;3.6;3;2.25;3.7;3;1.64;2.23;
g_1_WbcbyS2D;38;18.05. 16:15;Getafe;Villarreal;18/05/2019;2;2;D;17;8;6;4;1.61;4.2;5.25;1.62;4.1;5.25;1.72;2.11;
g_1_OhppaVfK;38;18.05. 16:15;Sevilla;Ath Bilbao;18/05/2019;2;0;H;9;9;2;3;1.85;3.4;4.33;1.87;3.4;4.6;1.74;2.08;
g_1_0l6Gimmf;38;18.05. 16:15;Valladolid;Valencia;18/05/2019;0;2;A;19;9;8;2;8;5.25;1.36;8;4.75;1.4;1.63;2.25;
g_1_zDy4RjZl;37;12.05. 18:30;Ath Bilbao;Celta Vigo;12/05/2019;3;1;H;8;3;3;3;2;3.5;3.8;2.05;3.4;3.75;2.09;1.74;
g_1_lGu8QAle;37;12.05. 18:30;Atl. Madrid;Sevilla;12/05/2019;1;1;D;11;11;5;7;2.1;3.6;3.4;2.15;3.6;3.3;1.85;1.95;
g_1_rwuCPU31;37;12.05. 18:30;Barcelona;Getafe;12/05/2019;2;0;H;13;11;4;3;1.53;4.33;6;1.5;4.5;6.25;1.63;2.27;
