ID;jornada;horario;local;visitante;Date;FTHG;FTAG;FTR;HS;AS;HC;AC;B365H;B365D;B365A;BWH;BWD;BWA;BbAv>2.5;BbAv<2.5;
g_1_MTwGOlJ7;37;12.05. 18:30;Betis;Huesca;12/05/2019;2;1;H;17;9;9;2;1.55;4.33;5.75;1.57;4.33;5.5;1.53;2.46;
g_1_boNbmYe8;37;12.05. 18:30;Girona;Levante;12/05/2019;1;2;A;14;6;9;2;2.15;3.6;3.2;2.25;3.4;3.2;1.62;2.29;
g_1_lG1wtjlr;37;12.05. 18:30;Leganes;Espanyol;12/05/2019;0;2;A;11;19;6;7;2.4;3.5;2.87;2.45;3.25;2.95;1.96;1.85;
g_1_xxM2nhBE;37;12.05. 18:30;Rayo Vallecano;Valladolid;12/05/2019;1;2;A;16;9;4;2;4.2;3.8;1.8;4.2;3.9;1.8;1.71;2.13;
g_1_S60suA3l;37;12.05. 18:30;Real Sociedad;Real Madrid;12/05/2019;3;1;H;19;6;5;2;3;3.6;2.3;2.9;3.75;2.3;1.57;2.4;
g_1_WbL6oCQK;37;12.05. 18:30;Valencia;Alaves;12/05/2019;3;1;H;10;10;7;4;1.4;5;7.5;1.4;5.25;7;1.6;2.34;
g_1_G2LUCiKe;36;05.05. 20:45;Huesca;Valencia;05/05/2019;2;6;A;24;10;7;5;3.5;3.4;2.1;3.4;3.6;2.1;1.76;2.06;
g_1_MaCKZER8;36;05.05. 18:30;Valladolid;Ath Bilbao;05/05/2019;1;0;H;10;9;1;3;2.9;3.1;2.6;2.8;3.1;2.7;2.52;1.52;
g_1_8d8GzeC2;36;05.05. 16:15;Real Madrid;Villarreal;05/05/2019;3;2;H;24;15;8;3;1.7;4;4.75;1.67;4;5;1.49;2.58;
g_1_ju0XWCBR;36;05.05. 14:00;Eibar;Betis;05/05/2019;1;0;H;14;12;11;8;2.05;3.6;3.5;2.05;3.6;3.5;1.76;2.06;
g_1_bRQPDX4k;36;05.05. 12:00;Getafe;Girona;05/05/2019;2;0;H;13;4;1;3;1.8;3.6;4.75;1.78;3.5;5;2.33;1.6;
g_1_rF0TXhdL;36;04.05. 20:45;Celta Vigo;Barcelona;04/05/2019;2;0;H;14;8;11;1;2.15;3.6;3.25;2.1;3.6;3.4;1.7;2.15;
g_1_KzSLEDkq;36;04.05. 18:30;Alaves;Real Sociedad;04/05/2019;0;1;A;17;9;13;6;2.5;3.25;2.9;2.6;3.1;2.9;2.18;1.68;
g_1_4O1PYYtF;36;04.05. 16:15;Espanyol;Atl. Madrid;04/05/2019;3;0;H;11;11;5;6;3.8;3.3;2.05;3.7;3.3;2.1;2.23;1.65;
g_1_fgKYBBZ1;36;04.05. 13:00;Levante;Rayo Vallecano;04/05/2019;4;1;H;12;20;6;7;1.95;3.8;3.6;1.95;4;3.5;1.5;2.54;
g_1_KMnm0Ezj;35;29.04. 21:00;Betis;Espanyol;29/04/2019;1;1;D;18;10;6;5;2.3;3.3;3.1;2.3;3.3;3;1.81;2;
g_1_zVUZNHSd;35;28.04. 20:45;Rayo Vallecano;Real Madrid;28/04/2019;1;0;H;11;9;6;6;7.5;4.5;1.4;6.25;4.75;1.42;1.43;2.76;
g_1_2eufJgsS;35;28.04. 18:30;Villarreal;Huesca;28/04/2019;1;1;D;18;13;0;1;1.55;4;6.5;1.55;4;5.75;1.59;2.37;
g_1_4AMjKZRL;35;28.04. 16:15;Real Sociedad;Getafe;28/04/2019;2;1;H;11;12;5;7;2.6;3.2;2.75;2.55;2.95;2.95;2.39;1.57;
g_1_YPjiaYkd;35;28.04. 14:00;Girona;Sevilla;28/04/2019;1;0;H;15;7;3;6;4.75;3.4;1.75;4.1;3.5;1.85;1.76;2.06;
g_1_MoXoLFCF;35;28.04. 12:00;Valencia;Eibar;28/04/2019;0;1;A;7;13;7;6;1.45;4.5;6.5;1.44;4.5;6.5;1.58;2.38;
g_1_Qamq1fLq;35;27.04. 20:45;Barcelona;Levante;27/04/2019;1;0;H;23;7;6;3;1.2;6.5;11;1.22;6.25;10.5;1.38;3;
g_1_reYsMec9;35;27.04. 18:30;Leganes;Celta Vigo;27/04/2019;0;0;D;10;8;4;6;2.37;3.25;3;2.35;3.2;3;2.35;1.59;
g_1_lzQFIMjH;35;27.04. 16:15;Atl. Madrid;Valladolid;27/04/2019;1;0;H;13;13;7;3;1.33;4.5;11;1.35;4.5;9.25;2.05;1.78;
g_1_ATxl4NyO;34;25.04. 21:30;Getafe;Real Madrid;25/04/2019;0;0;D;9;12;9;4;4;3.6;1.9;4.1;3.7;1.85;1.82;2;
g_1_lKyh3siU;34;25.04. 20:30;Real Sociedad;Villarreal;25/04/2019;0;1;A;13;8;6;3;2.5;3.3;2.9;2.4;3.5;2.9;1.79;2.03;
g_1_8O8IJ2yB;34;25.04. 19:30;Sevilla;Rayo Vallecano;25/04/2019;5;0;H;20;12;5;4;1.33;5.25;9;1.34;5.5;8;1.4;2.88;
g_1_vqH1Npxn;34;24.04. 21:30;Levante;Betis;24/04/2019;4;0;H;6;7;3;4;2.5;3.3;2.9;2.55;3.5;2.7;1.55;2.44;
g_1_M766M4ih;34;24.04. 20:30;Espanyol;Celta Vigo;24/04/2019;1;1;D;9;18;2;4;2.3;3.2;3.3;2.2;3.4;3.3;1.74;2.09;
g_1_0hIcOQMu;34;24.04. 20:30;Leganes;Ath Bilbao;24/04/2019;0;1;A;14;3;2;2;2.6;3;3;2.65;3;2.95;2.63;1.47;
g_1_S4mq53MH;34;24.04. 19:30;Atl. Madrid;Valencia;24/04/2019;3;2;H;14;12;4;3;1.8;3.4;5;1.85;3.4;4.6;2.25;1.64;
g_1_GUqu6q7B;34;23.04. 21:30;Alaves;Barcelona;23/04/2019;0;2;A;6;17;1;4;7;5.25;1.4;7;5;1.42;1.5;2.56;
g_1_UX9EKrM4;34;23.04. 20:30;Valladolid;Girona;23/04/2019;1;0;H;13;6;4;5;2.3;3.3;3.25;2.3;3.25;3.2;2.16;1.7;
g_1_Ysx87yRI;33;21.04. 20:45;Betis;Valencia;21/04/2019;1;2;A;23;4;8;2;3;3.3;2.4;2.85;3.3;2.5;1.87;1.93;
g_1_M7py7Pi5;33;21.04. 18:30;Villarreal;Leganes;21/04/2019;2;1;H;11;6;7;4;1.72;3.5;5;1.72;3.75;5;2.05;1.78;
g_1_hShKA7ht;33;21.04. 16:15;Real Madrid;Ath Bilbao;21/04/2019;3;0;H;11;5;8;2;1.45;4.33;7;1.45;4.4;7.5;1.53;2.48;
g_1_G61hFmpP;33;21.04. 14:00;Getafe;Sevilla;21/04/2019;3;0;H;10;12;2;7;3.1;3.4;2.3;3.1;3.3;2.35;2.1;1.74;
g_1_QuiS8oNh;33;21.04. 12:00;Levante;Espanyol;21/04/2019;2;2;D;19;14;12;7;2.3;3.5;3;2.2;3.6;3.1;1.64;2.25;
g_1_v7N48HBC;33;20.04. 20:45;Barcelona;Real Sociedad;20/04/2019;2;1;H;11;9;4;2;1.22;6.5;13;1.22;6.75;11.5;1.36;3.11;
g_1_rHoX75xa;33;20.04. 18:30;Rayo Vallecano;Huesca;20/04/2019;0;0;D;16;10;8;3;2.05;3.75;3.4;2.05;3.7;3.4;1.61;2.31;
g_1_nkhO9R7n;33;20.04. 16:15;Eibar;Atl. Madrid;20/04/2019;0;1;A;10;8;5;8;3.2;3.1;2.4;3.2;3.1;2.4;2.37;1.58;
g_1_CYzC6etP;33;20.04. 13:00;Celta Vigo;Girona;20/04/2019;2;1;H;13;9;5;1;2;3.75;3.5;2;3.7;3.6;1.68;2.18;
g_1_bm2VgIdJ;32;15.04. 21:00;Leganes;Real Madrid;15/04/2019;1;1;D;5;13;1;5;5.25;4.2;1.6;5;4.25;1.62;1.65;2.24;
g_1_IiZeAws0;32;14.04. 20:45;Valencia;Levante;14/04/2019;3;1;H;23;6;8;3;1.5;4.75;5.5;1.5;4.4;6.25;1.53;2.49;
g_1_nDbRfbsD;32;14.04. 18:30;Girona;Villarreal;14/04/2019;0;1;A;14;17;9;5;2.5;3.25;2.8;2.55;3.4;2.75;1.85;1.96;
g_1_ARVmCaCm;32;14.04. 16:15;Real Sociedad;Eibar;14/04/2019;1;1;D;3;17;0;3;2.2;3.5;3.25;2.3;3.3;3.2;1.89;1.92;
g_1_QcAIdKC0;32;14.04. 14:00;Ath Bilbao;Rayo Vallecano;14/04/2019;3;2;H;15;8;3;6;1.6;4;5.5;1.65;4;5.25;1.8;2.02;
g_1_4lViBJRg;32;14.04. 12:00;Valladolid;Getafe;14/04/2019;2;2;D;8;8;5;3;3.2;2.9;2.55;3.1;2.95;2.55;2.73;1.45;
g_1_WzXqDucs;32;13.04. 20:45;Sevilla;Betis;13/04/2019;3;2;H;11;12;5;4;1.66;4;5;1.67;4.1;4.75;1.58;2.38;
g_1_4l9MevS6;32;13.04. 18:30;Atl. Madrid;Celta Vigo;13/04/2019;2;0;H;11;10;1;2;1.36;4.75;9;1.36;4.75;9.25;1.94;1.87;
g_1_jskHHLlQ;32;13.04. 16:15;Huesca;Barcelona;13/04/2019;0;0;D;6;10;6;5;4.75;4.2;1.65;4.75;4;1.7;1.62;2.3;
g_1_hUNnq1r1;31;07.04. 20:45;Betis;Villarreal;07/04/2019;2;1;H;17;10;4;3;2.2;3.4;3.3;2.2;3.4;3.3;1.85;1.96;
g_1_niNjrLc7;31;07.04. 18:30;Celta Vigo;Real Sociedad;07/04/2019;3;1;H;11;14;2;7;2.4;3.3;3;2.45;3.25;3;1.87;1.94;
g_1_IX6Abtrl;31;07.04. 18:30;Levante;Huesca;07/04/2019;2;2;D;14;17;9;1;1.95;3.6;3.8;1.95;3.6;3.8;1.67;2.2;
g_1_dO5Ec0cf;31;07.04. 16:15;Valladolid;Sevilla;07/04/2019;0;2;A;10;16;6;7;3.5;3.4;2.05;3.3;3.5;2.15;1.89;1.92;
g_1_QZRV5OkE;31;07.04. 14:00;Getafe;Ath Bilbao;07/04/2019;1;0;H;6;9;1;2;2.3;3;3.5;2.35;2.9;3.6;2.82;1.42;
g_1_vRJrpsTf;31;07.04. 12:00;Alaves;Leganes;07/04/2019;1;1;D;6;9;3;3;2.5;3;3.1;2.5;2.9;3.25;2.68;1.46;
g_1_4QQZ4r5K;31;06.04. 20:45;Barcelona;Atl. Madrid;06/04/2019;2;0;H;21;9;5;1;1.75;3.6;5;1.78;3.6;4.75;1.84;1.97;
g_1_QsMfsuDD;31;06.04. 18:30;Rayo Vallecano;Valencia;06/04/2019;2;0;H;15;12;4;7;4.2;3.5;1.9;4;3.6;1.91;1.87;1.94;
g_1_bmQw42KQ;31;06.04. 16:15;Real Madrid;Eibar;06/04/2019;2;1;H;13;3;5;4;1.3;5.5;9.5;1.28;6;9.75;1.31;3.38;
g_1_j3263VTF;30;04.04. 21:30;Real Sociedad;Betis;04/04/2019;2;1;H;15;11;3;6;2.25;3.3;3.3;2.2;3.4;3.3;2.1;1.74;
g_1_W2ef6Xqc;30;04.04. 20:30;Leganes;Valladolid;04/04/2019;1;0;H;18;8;3;4;1.9;3.3;4.5;1.91;3.25;4.5;2.61;1.48;
g_1_UmEc5ia3;30;04.04. 19:30;Sevilla;Alaves;04/04/2019;2;0;H;18;5;11;1;1.5;4.33;6.5;1.53;4.25;6.25;1.74;2.09;
g_1_d2UwoNDl;30;03.04. 21:30;Valencia;Real Madrid;03/04/2019;2;1;H;11;15;6;6;3.3;3.6;2.15;3.3;3.7;2.1;1.62;2.29;
g_1_v988rUij;30;03.04. 20:30;Eibar;Rayo Vallecano;03/04/2019;2;1;H;12;13;2;6;1.61;4;5.5;1.65;3.8;5.5;1.79;2.03;
g_1_IBVZo3br;30;03.04. 20:30;Huesca;Celta Vigo;03/04/2019;3;3;D;23;11;5;0;2.62;3.5;2.62;2.65;3.4;2.65;1.95;1.86;
g_1_KORyljUS;30;03.04. 19:30;Ath Bilbao;Levante;03/04/2019;3;2;H;14;11;2;9;1.61;4;5.5;1.6;4;5.75;1.92;1.89;
g_1_CC324BE9;30;02.04. 21:30;Villarreal;Barcelona;02/04/2019;4;4;D;16;15;5;3;5.25;4.2;1.61;5.25;4.2;1.62;1.57;2.4;
g_1_Ia7Csl7d;30;02.04. 20:30;Espanyol;Getafe;02/04/2019;1;1;D;9;13;5;4;2.4;3.1;3.2;2.4;3.1;3.2;2.43;1.56;
g_1_CbOTkCaG;29;31.03. 20:45;Real Madrid;Huesca;31/03/2019;3;2;H;16;16;4;6;1.11;10;19;1.13;9.25;18.5;1.25;3.74;
g_1_Q1SXlWEM;29;31.03. 18:30;Valladolid;Real Sociedad;31/03/2019;1;1;D;10;10;7;5;2.6;3;3;2.6;3.2;2.85;2.37;1.58;
g_1_4SyDgf0i;29;31.03. 16:15;Sevilla;Valencia;31/03/2019;0;1;A;17;4;5;3;2.05;3.5;3.6;2.05;3.6;3.5;1.81;2.01;
g_1_jqzLiYU3;29;31.03. 14:00;Rayo Vallecano;Betis;31/03/2019;1;1;D;20;7;6;3;2.75;3.5;2.45;2.85;3.4;2.45;1.8;2.02;
g_1_UZYOjhpA;29;31.03. 12:00;Levante;Eibar;31/03/2019;2;2;D;7;17;6;7;2.8;3.5;2.45;2.75;3.6;2.45;1.67;2.21;
g_1_hl8fyDpN;29;30.03. 20:45;Alaves;Atl. Madrid;30/03/2019;0;4;A;14;11;9;2;5.5;3.4;1.75;5.5;3.4;1.75;2.51;1.52;
g_1_lKgQVj8p;29;30.03. 18:30;Celta Vigo;Villarreal;30/03/2019;3;2;H;15;14;10;7;2.5;3.3;2.75;2.55;3.4;2.75;1.98;1.84;
g_1_Wv7bzXaT;29;30.03. 16:15;Barcelona;Espanyol;30/03/2019;2;0;H;13;4;5;2;1.14;9;15;1.19;7.25;14;1.29;3.46;
g_1_2NcUUANj;29;30.03. 13:00;Getafe;Leganes;30/03/2019;0;2;A;9;7;3;4;1.95;3.2;4.5;1.95;3.1;4.6;2.76;1.44;
g_1_U9NUtHGo;28;17.03. 20:45;Betis;Barcelona;17/03/2019;1;4;A;13;16;3;7;7;5;1.4;6.75;5.25;1.4;1.42;2.79;
g_1_jPBwueob;28;17.03. 18:30;Valencia;Getafe;17/03/2019;0;0;D;8;9;3;5;2;3.3;4;1.95;3.2;4.5;2.43;1.56;
g_1_zDDkxgVG;28;17.03. 18:30;Villarreal;Rayo Vallecano;17/03/2019;3;1;H;12;7;5;5;1.6;4.2;5.5;1.6;4.2;5.25;1.7;2.15;
g_1_vorLMDVT;28;17.03. 16:15;Espanyol;Sevilla;17/03/2019;0;1;A;13;12;6;5;2.4;3.5;2.9;2.55;3.6;2.65;1.76;2.07;
g_1_dMhGNgGN;28;17.03. 12:00;Eibar;Valladolid;17/03/2019;1;2;A;15;8;5;0;1.66;3.8;5.5;1.62;3.8;5.75;2.11;1.73;
g_1_2aFsvF04;28;16.03. 20:45;Leganes;Girona;16/03/2019;0;2;A;12;8;6;2;2.15;3.2;3.7;2.05;3.1;4.1;2.49;1.53;
g_1_rJlCOZ0H;28;16.03. 18:30;Ath Bilbao;Atl. Madrid;16/03/2019;2;0;H;9;9;1;7;3.9;3;2.2;3.7;3;2.25;2.78;1.44;
g_1_80MYuyWi;28;16.03. 16:15;Real Madrid;Celta Vigo;16/03/2019;2;0;H;22;6;9;2;1.18;7.5;13;1.18;7.25;15;1.35;3.15;
g_1_tfUnIXwo;28;16.03. 13:00;Huesca;Alaves;16/03/2019;1;3;A;7;12;2;2;2.45;3.2;3;2.5;3.25;2.9;2.31;1.62;
g_1_A5j4QeW4;27;10.03. 20:45;Valladolid;Real Madrid;10/03/2019;1;4;A;10;15;5;12;5;4.33;1.61;5.25;4.25;1.6;1.56;2.4;
g_1_4hL3SH1h;27;10.03. 18:30;Levante;Villarreal;10/03/2019;0;2;A;11;13;8;2;2.9;3.3;2.5;2.8;3.4;2.5;1.75;2.09;
g_1_ldk8PFoB;27;10.03. 18:30;Sevilla;Real Sociedad;10/03/2019;5;2;H;22;9;7;2;1.66;4.2;4.75;1.65;4.25;4.75;1.73;2.1;
g_1_AVLaTcnn;27;10.03. 16:15;Girona;Valencia;10/03/2019;2;3;A;18;11;6;1;3.3;3.2;2.35;3.1;3.2;2.4;2.13;1.71;
g_1_rqK7RyHb;27;10.03. 12:00;Celta Vigo;Betis;10/03/2019;0;1;A;7;14;4;4;2.5;3.3;2.9;2.45;3.3;2.95;2.06;1.76;
g_1_dSHeUwXu;27;09.03. 20:45;Getafe;Huesca;09/03/2019;2;1;H;14;8;13;1;1.61;3.6;6.5;1.62;3.7;6.25;2.23;1.66;
g_1_W4jk9f1U;27;09.03. 18:30;Barcelona;Rayo Vallecano;09/03/2019;3;1;H;12;8;10;4;1.16;8;15;1.17;8;15;1.36;3.08;
g_1_hEioAznO;27;09.03. 16:15;Atl. Madrid;Leganes;09/03/2019;1;0;H;13;3;4;4;1.45;4.2;10;1.45;4.2;8.25;2.36;1.59;
g_1_pllwCdHB;27;09.03. 13:00;Alaves;Eibar;09/03/2019;1;1;D;16;20;3;5;2.9;3.2;2.55;2.9;3;2.7;2.44;1.55;
g_1_AXj693eD;26;04.03. 21:00;Leganes;Levante;04/03/2019;1;0;H;14;15;2;2;1.95;3.4;4.2;1.91;3.4;4.25;2.13;1.71;
g_1_IycMFvIn;26;03.03. 20:45;Valencia;Ath Bilbao;03/03/2019;2;0;H;11;4;6;2;2;3.3;4;2;3.25;4.1;2.42;1.56;
g_1_dSeQEbXh;26;03.03. 18:30;Real Sociedad;Atl. Madrid;03/03/2019;0;2;A;19;8;7;3;4;3.25;2.05;3.75;3.25;2.1;2.43;1.56;
g_1_zFbgC5Bf;26;03.03. 16:15;Betis;Getafe;03/03/2019;1;2;A;6;11;4;4;2.3;3;3.4;2.35;3;3.4;2.5;1.52;
g_1_jkeUDIna;26;03.03. 12:00;Eibar;Celta Vigo;03/03/2019;1;0;H;15;3;7;0;1.72;3.8;4.75;1.78;3.8;4.5;1.89;1.91;
g_1_OzulYnYD;26;02.03. 20:45;Real Madrid;Barcelona;02/03/2019;0;1;A;17;10;8;6;2.75;3.7;2.45;2.7;3.75;2.4;1.47;2.64;
g_1_dUn2Aqt7;26;02.03. 18:30;Huesca;Sevilla;02/03/2019;2;1;H;7;12;3;12;3.8;3.6;1.95;3.9;3.6;1.95;1.85;1.96;
g_1_002HGK2t;26;02.03. 16:15;Villarreal;Alaves;02/03/2019;1;2;A;9;10;8;2;1.66;3.75;5.5;1.67;3.7;5.5;2.01;1.81;
g_1_E5ccBPQ0;26;02.03. 13:00;Espanyol;Valladolid;02/03/2019;3;1;H;15;14;5;3;1.8;3.6;4.75;1.78;3.5;5;2.25;1.65;
g_1_ziKAKT3E;25;25.02. 21:00;Girona;Real Sociedad;25/02/2019;0;0;D;10;7;3;5;2.37;3.2;3;2.45;3.2;3;2.16;1.69;
g_1_rHNII7YQ;25;24.02. 20:45;Levante;Real Madrid;24/02/2019;1;2;A;11;19;4;6;5.25;4.75;1.53;5.25;4.6;1.55;1.36;3.07;
g_1_SlakDodl;25;24.02. 18:30;Valladolid;Betis;24/02/2019;0;2;A;10;6;13;4;2.7;3.2;2.75;2.75;3.2;2.7;2.3;1.62;
g_1_thwKc6d1;25;24.02. 16:15;Atl. Madrid;Villarreal;24/02/2019;2;0;H;15;14;6;7;1.57;3.75;7;1.57;3.9;6.25;2.15;1.7;
g_1_UDJEJmJK;25;24.02. 12:00;Leganes;Valencia;24/02/2019;1;1;D;17;6;4;2;2.8;3.1;2.7;2.8;2.95;2.8;2.48;1.54;
g_1_nVwGbnse;25;23.02. 20:45;Ath Bilbao;Eibar;23/02/2019;1;0;H;9;7;10;2;2.1;3.25;3.8;2.1;3.2;3.8;2.34;1.6;
g_1_lpLCaSRl;25;23.02. 18:30;Alaves;Celta Vigo;23/02/2019;0;0;D;17;8;3;4;2.3;3.3;3.2;2.3;3.25;3.2;2.19;1.68;
g_1_lb0oERtr;25;23.02. 16:15;Sevilla;Barcelona;23/02/2019;2;4;A;13;17;3;8;3.5;4;1.95;3.6;4;1.91;1.49;2.57;
g_1_d0L6L9l8;25;23.02. 13:00;Getafe;Rayo Vallecano;23/02/2019;2;1;H;11;7;2;2;1.7;3.6;5.5;1.72;3.6;5.25;2.34;1.6;
g_1_0KnP8W42;24;18.02. 21:00;Huesca;Ath Bilbao;18/02/2019;0;1;A;12;9;3;5;3.1;3.1;2.5;3.1;3.1;2.45;2.31;1.61;
g_1_nHbspmS1;24;17.02. 20:45;Betis;Alaves;17/02/2019;1;1;D;19;6;6;3;1.72;3.5;5.25;1.8;3.4;5;2.26;1.63;
g_1_6LV708Cr;24;17.02. 18:30;Villarreal;Sevilla;17/02/2019;3;0;H;12;21;6;4;2.5;3.4;2.8;2.45;3.5;2.8;1.82;1.98;
g_1_dntY6AZE;24;17.02. 16:15;Valencia;Espanyol;17/02/2019;0;0;D;21;6;10;2;1.72;3.7;4.8;1.8;3.5;4.75;1.93;1.87;
g_1_zwux6UlL;24;17.02. 12:00;Real Madrid;Girona;17/02/2019;1;2;A;19;14;7;0;1.16;8;15;1.19;7;15;1.41;2.84;
g_1_lOqxmkrq;24;16.02. 20:45;Barcelona;Valladolid;16/02/2019;1;0;H;20;10;3;5;1.14;9;15;1.16;8;16;1.36;3.07;
g_1_4Cqt5l4R;24;16.02. 18:30;Real Sociedad;Leganes;16/02/2019;3;0;H;15;8;4;1;2.05;3.1;4.2;2.05;3.1;4.1;2.48;1.53;
g_1_ENjT7jK8;24;16.02. 16:15;Rayo Vallecano;Atl. Madrid;16/02/2019;0;1;A;12;4;4;6;6;3.5;1.65;5.75;3.6;1.67;2.17;1.68;
g_1_SErtn9ck;24;16.02. 13:00;Celta Vigo;Levante;16/02/2019;1;4;A;14;14;5;7;1.8;3.8;4.5;1.85;3.7;4.2;1.65;2.22;
g_1_vVX0kNnp;23;11.02. 21:00;Alaves;Levante;11/02/2019;2;0;H;16;8;3;10;2;3.4;3.8;2.05;3.4;3.8;1.97;1.84;
g_1_YiX4ls2j;23;10.02. 20:45;Ath Bilbao;Barcelona;10/02/2019;0;0;D;13;10;6;4;4.75;4;1.7;4.75;3.9;1.72;1.66;2.21;
g_1_Iug6hBKL;23;10.02. 18:30;Sevilla;Eibar;10/02/2019;2;2;D;13;8;9;7;1.66;4;5;1.67;4.1;4.75;1.71;2.14;
g_1_WrcAiVZR;23;10.02. 16:15;Valencia;Real Sociedad;10/02/2019;0;0;D;10;8;7;5;1.83;3.5;4.5;1.83;3.5;4.5;2.02;1.8;
g_1_dQ4cfXk9;23;10.02. 12:00;Leganes;Betis;10/02/2019;3;0;H;16;3;4;4;2.25;3;3.6;2.35;3.1;3.3;2.48;1.38;
g_1_l01kdgLd;23;09.02. 20:45;Girona;Huesca;09/02/2019;0;2;A;13;6;13;2;2;3.3;4;1.95;3.4;4.1;2.1;1.73;
g_1_pSz9m1Hd;23;09.02. 18:30;Espanyol;Rayo Vallecano;09/02/2019;2;1;H;15;9;6;2;1.8;3.6;4.5;1.8;3.7;4.5;1.9;1.91;
g_1_xMoZg3vT;23;09.02. 16:15;Atl. Madrid;Real Madrid;09/02/2019;1;3;A;11;11;3;4;2.37;3.25;3.1;2.4;3.3;3;2.06;1.77;
g_1_zH31gi5F;23;09.02. 13:00;Getafe;Celta Vigo;09/02/2019;3;1;H;12;13;4;3;1.9;3.4;4.33;1.87;3.4;4.6;2.38;1.58;
g_1_KpiUfqPM;22;04.02. 21:00;Rayo Vallecano;Leganes;04/02/2019;1;2;A;15;13;5;6;2.37;3.25;3.1;2.3;3.1;3.4;2.34;1.59;
g_1_CE09a7Ai;22;03.02. 20:45;Real Madrid;Alaves;03/02/2019;3;0;H;22;8;7;2;1.2;6.5;15;1.22;6.5;12.5;1.43;2.76;
g_1_K6bOy4Ip;22;03.02. 18:30;Eibar;Girona;03/02/2019;3;0;H;17;6;8;5;1.66;4;5;1.72;3.7;5;1.93;1.87;
g_1_YTlIcou4;22;03.02. 16:15;Betis;Atl. Madrid;03/02/2019;1;0;H;7;13;1;7;4;3.2;2.05;3.8;3.3;2.05;2.34;1.6;
g_1_nXhMd5fA;22;03.02. 12:00;Villarreal;Espanyol;03/02/2019;2;2;D;14;17;3;2;1.8;3.75;4.5;1.8;3.75;4.4;1.89;1.92;
g_1_v9pfgWmI;22;02.02. 20:45;Celta Vigo;Sevilla;02/02/2019;1;0;H;10;13;4;9;3.75;3.6;2;3.7;3.6;2;1.77;2.05;
g_1_Q5tjfCYB;22;02.02. 18:30;Barcelona;Valencia;02/02/2019;2;2;D;20;14;9;1;1.28;5.75;11;1.3;5.75;9.25;1.36;3.09;
g_1_j5aDbRPc;22;02.02. 16:15;Real Sociedad;Ath Bilbao;02/02/2019;2;1;H;6;8;3;3;2.35;3.3;3.2;2.25;3.25;3.4;2.3;1.62;
g_1_tfhQeP9G;22;02.02. 13:00;Levante;Getafe;02/02/2019;0;0;D;8;9;5;5;2.37;3.25;3.1;2.4;3.25;3.1;1.98;1.83;
g_1_vkI8sZl6;21;28.01. 21:00;Alaves;Rayo Vallecano;28/01/2019;0;1;A;16;14;7;4;2.15;3.3;3.5;2.15;3.25;3.6;2.13;1.71;
g_1_Q5KKvXYO;21;27.01. 20:45;Espanyol;Real Madrid;27/01/2019;2;4;A;13;16;1;6;4.2;4;1.8;4.1;4;1.8;1.7;2.16;
g_1_IuHCtg4C;21;27.01. 18:30;Ath Bilbao;Betis;27/01/2019;1;0;H;11;8;6;4;2.1;3.3;3.5;2.15;3.3;3.5;2.06;1.76;
g_1_hhrrdY3a;21;27.01. 18:30;Real Sociedad;Huesca;27/01/2019;0;0;D;8;8;5;2;1.61;3.75;6;1.62;3.9;5.75;1.87;1.94;
